x1,x2
0,2145
0,2498
0,7275
0,9206
0,7787
0,2684
0,5358
1,4992
1,2560
1,5506
1,4611
1,4361
1,2058
1,7593
1,3996
1,6160
1,8209
1,8978
1,2900
1,6009
1,4248
1,1753
1,3164
1,4575
1,2152
1,2984
1,8873
1,1578
1,7787
1,3247
1,8040
1,5682
1,116
1,3193
1,7668
1,7482
1,9407
1,3776
1,9151
2,2816
2,3363
2,2980
2,421
2,1638
2,6535
2,7496
2,2794
2,7787
2,7278
2,6480
2,7720
2,8803
2,8366
2,9080
2,1276
2,3722
2,5822
2,8287
3,8608
3,6522
4,2145
4,7685
4,4042
4,460
4,654
4,7216
4,3384
4,4313
4,893
4,4927
5,3234
5,2452
5,8262
5,9206
5,9272
5,3194
5,364
5,3822
5,8098
6,3828
6,9206
6,7958
6,343
6,8554
6,1550
7,570
8,9056
8,7296
8,8996
8,1638
8,4038
8,8810
8,3374
8,6832
8,7125
8,342
8,2998
8,6522
8,4213
9,130
9,7787
9,7565
9,5798
10,8976
10,7281
10,2914
10,9236
10,5351
10,527
10,1354
10,5759
10,6911
11,8448
11,3073
11,5379
11,4484
11,9349
11,1926
11,6535
11,7127
11,6540
11,2957
11,493
11,1453
11,5264
11,5208
11,5266
11,3859
11,4500
11,3221
11,4375
11,4847
11,2076
11,3741
11,798
11,3999
11,6176
11,1185
11,674
11,8123
11,9158
11,8753
11,7516
11,2347
11,5805
11,6190
11,477
11,7729
11,3634
11,7091
11,2930
11,9398
11,4408
11,2234
11,1211
11,8252
11,3901
11,6108
11,8630
11,326
11,2973
11,6191
11,5834
11,7756
11,1101
11,3534
11,6204
11,850
11,5589
11,3321
11,5976
11,2867
11,3163
11,2268
11,1629
11,8798
11,8421
11,480
11,8801
11,3555
11,5477
11,3430
11,6175
11,7996
11,5763
11,4818
11,3055
11,4722
11,2549
11,933
11,1402
11,510
12,395
13,4099
13,4993
13,2914
13,8099
13,1286
13,4201
13,1291
13,397
13,8750
13,7087
13,3603
13,7092
13,4457
13,1433
13,5743
14,6361
14,7787
14,8925
14,7913
15,6160
15,6515
15,110
15,2222
15,2448
15,4947
15,4757
15,7286
15,3032
15,5529
15,5342
15,6741
16,128
16,2816
16,898
16,5846
16,7047
16,3336
16,9481
16,5904
16,4253
16,7968
16,5667
16,3751
16,7849
16,3115
16,2092
16,2481
16,3378
16,7733
16,4899
16,3520
16,8769
16,8386
16,3126
16,2636
16,721
16,2019
16,5974
16,4823
16,9048
16,5849
16,4315
16,4957
16,4320
16,7011
16,4068
16,2533
16,6652
16,6905
16,4348
17,4137
17,7275
18,5918
18,343
19,209
19,8611
19,2420
19,6357
19,8273
19,7561
19,2169
19,6522
19,7820
19,9390
19,8725
20,6152
20,4473
20,2878
21,2048
21,2816
21,1538
21,1027
21,8197
21,5382
21,9223
21,3080
21,5898
21,523
21,3589
21,2733
21,8723
21,2839
21,9241
21,7707
21,2929
21,5253
21,3617
21,6690
21,293
21,3367
21,3292
21,4501
21,7727
21,1072
21,2353
21,2356
21,821
21,4918
21,2107
21,3900
21,7229
21,2366
21,7235
21,5686
21,7649
21,2121
21,8782
21,5723
21,5712
21,82
21,1876
21,8493
21,854
21,8538
21,5467
21,5884
21,608
21,9058
21,355
21,4452
21,6250
21,8301
21,8558
21,4720
21,4721
21,6931
21,7998
21,5494
21,9335
21,4220
21,2666
21,3711
21,2946
21,7301
21,7617
21,7317
21,5527
21,3215
21,657
21,5781
21,3734
21,3223
21,154
21,2202
21,7493
21,2464
21,7585
21,7844
21,7077
21,3494
21,1703
21,5893
21,7853
21,430
21,3894
21,1713
21,6835
21,4788
21,9142
21,8632
21,5568
21,7840
21,9163
21,5573
21,2209
21,7150
21,4811
21,6863
21,6366
21,3793
21,2851
21,2516
21,7130
21,8924
21,5854
21,1061
21,9137
21,738
21,744
21,1771
21,5613
21,4336
21,2033
21,2753
21,7039
21,2813
21,3326
22,2914
22,7787
22,5474
22,2770
22,8212
22,4406
22,1015
22,8376
22,2425
22,5819
22,8651
22,7679
23,2277
23,8262
23,877
23,8872
23,8299
23,2349
23,5421
23,4591
23,48
23,2899
23,3061
23,8143
23,7359
24,2145
24,3173
24,4008
24,8425
24,1874
24,4139
24,7666
24,4312
25,7264
25,7750
25,8486
25,3530
25,2603
25,2892
25,6991
25,7794
25,7604
25,7638
25,728
25,8537
25,9115
25,2461
25,7350
26,1698
26,8810
26,9000
26,9354
26,6845
26,3278
27,513
27,1897
27,4267
27,1285
27,3069
27,3085
27,8610
27,2064
27,7697
27,6418
27,8979
27,5652
27,8363
27,9496
27,1306
27,1819
27,1626
27,7967
27,560
27,6619
27,4133
27,7208
27,2550
27,1322
27,6505
27,3514
27,3376
27,8753
27,9266
27,5943
27,2872
27,1887
27,1596
27,318
27,2474
27,2880
27,4673
27,3979
27,582
27,1613
27,1871
27,7504
27,7250
27,8531
27,7764
27,5719
27,2906
27,8285
27,4446
27,4538
27,5776
27,3131
27,5988
27,617
27,8451
27,3945
27,1642
27,8807
27,6252
27,2417
27,9078
27,3703
27,4985
27,3962
27,8827
27,3964
27,4458
27,3458
27,3203
27,3460
27,2437
27,5767
27,9096
27,226
27,1931
27,4238
27,4751
27,9360
27,9105
27,707
27,3477
27,5020
27,6817
27,164
27,4519
27,9321
27,6571
27,2476
27,9133
27,2333
27,4528
27,1969
27,2996
27,8889
27,2235
27,188
27,189
27,6334
27,2499
27,5572
27,7158
27,3529
27,7372
27,3789
27,7631
27,4560
27,1490
27,5331
27,8661
27,2264
27,5338
27,8411
27,8927
27,4576
27,2274
27,2275
27,7398
27,8935
27,6909
27,2289
27,1010
27,2805
27,2294
27,7416
27,2881
27,8700
27,2557
27,3838
28,2816
28,1363
28,5508
28,2696
28,5775
29,4720
30,1026
30,7944
30,9481
30,7691
30,1036
30,1293
30,1807
30,8724
30,1045
30,8214
30,67
30,2737
30,1050
30,858
30,8992
30,7714
30,5923
30,4903
30,5160
30,220
30,6955
30,7980
30,7895
30,2056
30,819
30,7253
30,1064
30,1080
30,830
30,9013
30,321
30,4235
30,3912
30,1804
30,269
30,9041
30,7763
30,597
30,5207
30,7513
30,859
30,5595
30,607
30,356
30,6759
30,8552
30,6512
30,4209
30,3955
30,117
30,374
30,6008
30,121
30,7804
30,5098
30,1406
30,2687
30,5504
30,5249
30,8324
30,1999
30,4297
30,1303
30,4889
30,1944
30,6040
30,8851
30,7918
30,3222
30,8599
30,8088
30,3443
30,412
30,7333
30,168
30,5293
30,1711
30,4787
30,5556
30,6325
30,5961
30,8121
30,4026
30,7357
30,5311
30,8644
30,2505
30,2763
30,6348
30,9165
30,7119
30,6097
30,5330
30,4051
30,9429
30,7639
30,1188
30,2523
30,4828
30,4602
30,7902
30,1661
30,6624
30,2018
30,4837
30,8316
30,664
30,6379
30,3709
30,2032
30,5361
30,6451
30,247
30,1096
30,6434
30,6869
31,4929
31,1115
31,4837
31,5633
31,5417
31,1615
31,5522
31,4821
31,5047
31,4890
31,5019
31,3804
32,2816
32,5761
32,7524
32,9060
32,2672
32,8338
32,6041
32,8468
32,1663
33,130
33,789
34,7634
34,2914
34,4547
34,4885
34,5927
34,7900
34,5954
34,1901
35,7968
35,8694
35,2759
35,6220
35,6989
35,5561
36,4385
36,4547
36,8836
36,390
36,5640
36,5260
36,9288
36,4740
36,8740
36,8250
36,1277
36,3198
37,9206
38,2474
39,2816
39,3692
39,4215
39,7458
39,3341
39,7510
39,8862
39,4080
39,803
39,1745
39,3117
39,2286
39,9391
39,304
39,2034
39,755
39,8030
39,5865
39,5307
39,9212
40,2145
40,3023
40,1584
40,2258
40,8787
40,5203
40,9143
40,5178
40,2716
40,7775
41,7787
42,7297
42,7301
42,257
42,7276
42,8589
42,3096
42,1436
42,6174
42,1883
42,8614
42,7665
42,8498
42,7454
42,777
42,2492
42,1986
42,6854
42,5687
