x1,x2
0,82
1,259
1,5
1,6343
1,3180
1,7051
1,3532
1,1115
1,660
1,3739
1,5212
1,4319
1,1376
1,3235
1,4710
1,3241
1,1883
1,1132
1,1390
1,6448
1,2292
1,4406
1,887
1,5468
1,954
1,3807
1,6716
2,5842
3,6882
3,3363
3,4947
3,3739
3,5740
3,1277
3,5550
4,4087
5,2481
5,5269
5,3401
6,448
6,4115
6,436
6,6286
6,3079
6,6072
6,1673
6,743
6,3996
6,2126
7,1339
7,2787
8,6926
9,2352
9,2439
9,6121
9,3756
9,1773
9,5424
9,2872
9,3401
9,6168
9,5945
9,474
9,3258
10,6269
11,6536
11,4291
11,2677
11,2054
12,2176
12,5237
13,2339
13,4198
13,5032
13,1615
13,4945
13,1654
13,23
13,888
13,6553
13,3322
13,3418
13,5630
14,1089
14,4486
14,5470
14,3846
14,3815
14,615
14,2481
14,3706
14,2779
14,4302
15,3401
15,4282
15,5442
15,1162
15,343
16,1752
16,5892
16,6315
16,2444
16,6079
17,2304
17,3456
17,2114
17,5476
17,2340
17,237
18,6136
18,4140
19,5146
19,3731
19,485
19,4967
19,2819
19,6682
19,365
19,5358
19,3325
20,4482
20,2580
20,3704
20,6299
20,2156
20,7054
20,559
21,4960
21,1414
21,710
21,745
21,6554
21,4700
21,1158
22,1773
22,4543
23,3621
23,3845
23,4230
23,3847
23,748
23,4748
23,912
23,4115
23,6422
23,1175
23,6168
23,5530
23,6941
23,30
23,1567
23,932
23,2566
23,3462
23,2345
23,2218
23,3243
23,3997
23,5554
23,5556
23,2590
23,1846
23,6459
23,700
23,4161
23,3138
23,6213
23,2529
23,5451
23,5069
23,7119
23,2002
23,211
23,5973
23,3108
23,5338
23,219
23,5052
23,6750
23,3237
23,737
23,2275
23,3052
23,877
23,2166
23,1016
23,506
23,2428
23,2557
24,1280
24,4098
24,1283
24,6404
24,3589
24,6150
24,1032
24,778
24,5899
24,5644
24,4866
24,2062
24,5906
24,5396
24,1625
24,792
24,26
24,795
24,2332
24,2845
24,3617
24,2853
24,6950
24,807
24,1576
24,2345
24,5163
24,1836
24,4076
24,2609
24,4914
24,56
24,6202
24,5693
24,1600
24,6978
24,5446
24,2887
24,4876
24,2381
24,372
24,5969
24,6482
24,1877
24,345
24,2447
24,4444
24,3166
24,4191
24,2403
24,100
24,2314
24,1998
24,6588
24,3691
24,2924
24,7021
24,5489
24,2419
24,6260
24,788
24,2426
24,5758
24,6783
24,4673
24,5100
24,2186
24,4239
24,1812
24,3991
24,6808
24,2458
24,5787
24,1948
24,1438
24,3999
24,5792
24,165
24,3495
24,6812
24,938
24,5447
24,5555
24,2740
24,3253
24,4681
24,2393
24,3484
24,4796
24,446
24,5569
24,453
24,4129
24,2761
24,2506
24,3278
24,1869
24,208
24,5073
24,5842
24,3285
24,1240
24,5337
24,3290
24,2011
24,5093
24,4582
24,1396
24,5416
24,4597
24,2625
24,1961
24,3320
24,6138
24,5802
24,6357
25,4816
26,5122
26,6659
26,2061
26,3342
26,4623
26,4624
26,5393
26,5138
26,275
26,4124
26,2591
26,2864
26,1829
26,2343
26,2861
26,4665
26,2106
26,2527
26,736
26,6980
26,587
26,2466
26,4949
26,2904
26,5721
26,6669
26,2658
26,4196
26,2662
26,6192
26,5485
26,2928
26,4721
26,4732
26,3458
26,2180
26,1414
26,392
26,2451
26,408
26,2201
26,1691
26,2972
26,6050
26,3493
26,6001
26,5033
26,683
26,3757
26,560
26,1214
26,5315
26,5068
26,4141
26,6352
26,1237
26,3288
26,890
26,6368
26,5328
26,3042
26,3557
26,4330
26,3053
26,4079
26,6387
26,2805
26,4932
26,2047
27,155
28,1089
28,6734
29,372
29,2894
30,3520
30,2179
30,1481
30,6922
30,3275
30,6412
30,4310
30,5276
30,1701
30,3065
30,1059
30,6821
30,6892
30,367
30,1328
30,607
30,370
30,3219
30,2284
30,4152
30,5882
30,4895
30,458
31,1059
31,5148
32,2210
32,2439
32,5224
32,2074
32,1111
32,6315
32,2586
32,6410
33,6114
33,2694
33,1990
34,5969
34,2882
34,2803
34,5007
34,4374
34,1542
34,4913
34,2009
34,4315
34,3118
35,7040
35,3202
35,6853
35,2737
35,1352
35,3371
35,5839
35,6224
35,4049
35,4798
35,2006
35,2511
35,6974
36,5345
36,166
36,1142
36,567
36,6664
36,2447
37,6776
37,6136
37,1682
37,4949
38,7069
38,1773
39,6019
39,4444
39,4333
39,742
40,4016
40,3401
40,2634
41,6033
41,3886
41,5377
41,5589
41,3453
41,6526
41,1205
42,2128
42,1568
42,6275
42,4621
43,5872
43,1316
43,2022
43,4656
43,612
43,1618
43,4212
43,3577
43,532
43,5882
43,1978
43,2654
44,4024
44,401
44,4178
44,948
44,2586
45,301
46,6320
46,6136
46,581
46,4213
47,1158
48,3099
48,4449
48,147
48,6947
48,5541
48,6851
48,5719
48,6569
48,183
48,3661
49,5304
49,6216
49,538
49,3731
49,1276
50,500
51,395
51,5151
52,6563
52,6438
52,3642
52,5931
52,4780
52,3422
53,5576
53,1947
53,790
53,1960
53,3192
53,6489
53,2107
53,2381
53,4958
54,2784
54,409
55,3458
55,5349
55,2246
55,2697
55,6284
55,3970
55,7053
55,6770
55,4819
55,5621
55,2281
55,4411
55,5404
55,3005
56,1924
56,198
56,6918
56,1482
56,248
56,2777
56,4702
57,3935
57,872
57,268
57,4555
57,3948
57,2928
57,2153
57,2295
57,6329
57,6075
57,1340
57,6429
57,4223
58,2352
58,2792
58,3017
58,3178
58,6064
58,5448
58,1082
58,1402
59,6656
59,5976
59,1116
60,6280
60,6546
60,507
60,1684
61,1472
61,1657
61,2162
61,2626
61,6782
62,6944
62,425
62,4555
63,5995
63,5965
64,2201
64,2732
65,2049
65,5122
65,6955
65,577
65,6731
65,4816
65,3412
65,3612
65,2781
65,2081
65,6755
65,1958
65,2023
65,5674
65,3435
65,4987
66,3401
66,1103
67,5512
67,6469
68,7120
68,2323
68,2085
68,166
69,3465
69,946
69,3716
69,710
69,1063
70,5897
70,404
70,5045
71,4663
72,4328
72,6050
73,4288
73,4545
73,5890
73,2310
73,4872
73,4556
73,4940
73,2360
73,3410
73,4244
73,1429
73,859
73,3231
73,3104
73,6305
73,1009
73,4580
73,6565
73,2535
73,3432
73,7081
73,5351
73,2284
73,4977
73,4789
73,631
73,2808
74,1104
74,4916
74,4796
74,4798
75,2928
75,5186
75,2117
75,2440
75,3852
75,2026
75,6059
75,6178
75,1520
75,5367
75,6137
75,4863
75,1407
76,2625
76,596
77,3048
77,3272
77,2732
77,5566
77,3209
78,3497
78,6403
78,4181
78,1329
79,3831
80,2339
80,5765
80,2184
80,6025
80,1674
80,2890
80,1037
80,4741
80,1544
80,6548
80,2965
