x1,x2
0,2840
0,1819
1,4125
1,1309
1,1397
1,357
1,3497
1,1351
1,1492
1,1565
1,2677
2,1728
2,2753
2,676
2,485
2,214
2,3719
2,1351
2,1437
3,2112
3,896
3,2306
3,1988
3,3830
3,2504
3,1676
3,79
3,596
3,982
3,1819
3,222
3,1376
3,4528
3,4642
3,291
3,1450
3,2480
3,1266
3,2558
3,246
3,3387
3,2922
3,574
4,963
4,2182
4,4423
4,1480
4,3159
4,793
4,3984
4,1169
4,2771
4,596
4,2647
4,3737
4,3675
4,2853
4,1121
4,549
4,483
4,2213
4,1447
4,1513
4,7
4,4397
4,2414
4,1264
4,1067
4,1011
4,4121
4,3767
4,4217
4,1083
4,1451
4,1827
5,2273
5,4228
5,3655
5,1832
5,4001
5,3915
5,2348
5,3022
5,111
5,1604
5,531
5,3762
5,2483
5,3128
5,4569
5,570
5,140
6,2280
6,1565
6,1047
7,4288
7,2548
7,4387
7,3719
8,2864
8,4162
8,3235
8,4245
8,755
8,2891
9,3406
10,1857
10,1873
10,1819
10,1084
10,781
10,2574
11,596
11,406
11,4142
11,2847
12,3072
12,1024
12,1026
12,2563
12,4100
12,3078
12,3592
12,4105
12,4107
12,770
12,527
12,2578
12,531
12,3094
12,4331
12,536
12,1540
12,1050
12,3100
12,1565
12,768
12,1571
12,43
12,1970
12,905
12,1585
12,3122
12,55
12,3252
12,2109
12,864
12,69
12,1294
12,1623
12,2136
12,3162
12,4190
12,617
12,3178
12,107
12,109
12,2742
12,623
12,4208
12,627
12,105
12,1727
12,636
12,362
12,2686
12,2690
12,133
12,1217
12,4238
12,656
12,3228
12,670
12,1695
12,4258
12,165
12,2218
12,2221
12,3758
12,541
12,1114
12,182
12,3259
12,2751
12,4289
12,194
12,3271
12,4298
12,203
12,204
12,3793
12,1234
12,1750
12,215
12,223
12,635
12,1254
12,231
12,2283
12,2285
12,125
12,3827
12,247
12,1784
12,1791
12,2304
12,1802
12,2318
12,3855
12,784
12,1297
12,3487
12,2839
12,1306
12,1822
12,2850
12,87
12,1544
12,809
12,2359
12,2366
12,837
12,2887
12,2388
12,341
12,2905
12,4443
12,1890
12,2278
12,1383
12,2408
12,3436
12,3949
12,1902
12,1085
12,1912
12,2937
12,3452
12,2432
12,4481
12,1923
12,904
12,2953
12,1930
12,4491
12,913
12,402
12,916
12,408
12,1940
12,4507
12,3484
12,1861
12,1444
12,1958
12,2475
12,1455
12,434
12,1523
12,2468
12,2491
12,4031
12,4473
12,3521
12,457
12,2506
12,3021
12,1501
12,2015
12,1504
12,4078
12,2032
12,499
12,4596
12,2257
12,1014
12,340
12,2046
12,1535
13,1441
13,4179
13,3811
13,163
13,1007
13,4267
13,3055
13,2321
13,2546
13,3635
13,2164
13,3318
13,4377
13,1048
13,2545
13,4058
13,91
14,2690
14,2375
14,1826
14,1005
14,2864
14,1715
14,148
14,3565
14,2234
14,4155
14,2140
15,2373
15,2613
16,1152
16,4070
17,3521
17,68
17,4300
17,1560
17,2455
17,3672
17,2591
17,3556
17,4600
17,3498
17,560
17,3880
17,4027
18,1251
18,1515
18,2804
18,1093
18,406
18,4151
18,3572
18,2899
18,1502
18,1381
19,2701
19,1921
19,2830
19,1667
19,2213
19,897
19,1960
19,679
19,4365
19,3630
19,367
19,643
19,562
19,1391
19,4532
19,661
19,3448
19,1210
19,667
19,2940
20,2112
20,2050
20,772
20,1800
20,2825
20,2955
20,1036
20,399
20,1938
20,1731
20,3220
20,3054
20,150
20,884
20,2968
20,1692
20,1310
20,1440
20,161
20,1030
20,4081
20,171
20,2989
20,1200
20,1749
20,1206
20,2999
20,1209
20,1341
20,4415
20,3339
20,1462
20,1932
20,1737
20,2379
20,3404
20,2894
20,855
20,2901
20,2903
20,3343
20,2019
20,4326
20,1129
20,750
20,1035
20,497
20,4607
21,182
22,2081
23,1728
23,2294
23,3781
23,811
23,4275
23,1687
23,249
23,1789
23,4382
24,4295
24,424
24,3719
24,4145
24,3510
24,3871
25,4098
25,3203
25,1156
