x1,x2
0,5968
0,6420
0,5543
0,4726
0,5511
0,4089
0,3051
0,1020
0,2941
1,257
1,6146
1,771
1,2436
1,3990
1,2049
1,395
1,77
1,2190
1,1616
1,3649
1,2907
1,5343
1,2395
1,4900
1,1829
1,1386
1,5804
1,3501
1,2161
1,5310
1,4214
1,439
1,1020
1,3965
1,5579
1,2175
2,6528
2,609
2,4059
2,2856
2,5911
2,813
2,2807
2,1041
2,1992
2,6454
2,5079
2,6040
2,1721
2,2842
2,475
2,479
3,771
3,412
4,4544
4,3459
4,3458
4,3051
4,6148
4,3575
4,1227
4,76
4,4047
4,5008
4,4497
4,4179
4,4820
4,3157
4,1751
4,6360
4,516
4,4719
4,4957
4,1832
4,1712
4,1890
4,2331
4,3457
4,2763
4,871
4,1384
4,171
4,5549
4,4846
4,4655
4,5744
4,3122
4,2355
4,4400
4,5175
4,6165
4,6269
4,5077
5,514
5,6271
5,4660
5,3582
5,183
6,5968
6,1482
6,4451
6,1284
7,768
7,1025
7,6403
7,2374
7,4615
7,64
7,2119
7,1485
7,2228
7,3350
7,1240
7,3550
8,3051
8,612
8,1253
8,2257
8,2825
8,1195
8,2012
8,4813
8,1100
8,179
8,4018
8,1155
8,5908
8,4918
8,5207
8,5530
8,5756
8,2238
8,3551
9,3329
9,6466
9,6403
9,6084
9,5384
9,5385
9,5130
9,4329
9,5582
9,2108
9,771
9,5911
9,6281
9,4953
9,3995
9,1320
9,1056
9,1573
9,1969
9,6056
9,1127
9,3313
9,877
9,3952
9,2568
9,3253
9,4663
9,287
9,1276
9,766
10,2560
10,3046
10,771
10,5516
10,398
10,3857
10,142
10,2712
10,2650
10,2459
10,1808
10,4453
10,5094
10,361
10,938
10,4717
10,2799
10,5554
10,3510
10,3959
10,188
10,2367
11,4288
11,5511
11,6217
11,5707
11,1296
11,3425
11,1045
11,2055
11,5850
11,927
11,6374
11,6237
11,2608
11,6073
11,2682
11,3004
12,1856
12,2594
12,771
12,2372
12,3771
12,5894
12,3367
12,426
12,2727
12,1208
12,440
12,6169
12,1946
12,2075
12,2940
12,3546
13,5572
13,5445
13,1990
13,1953
13,4583
13,3148
13,910
13,3472
13,398
13,86
13,234
13,219
13,6279
13,4974
13,1450
13,5536
13,4624
13,869
13,2022
13,4839
13,6440
13,5418
13,4075
13,4716
13,4334
13,4913
13,4978
13,3061
13,3449
13,4989
13,6517
14,5072
14,3048
15,3968
15,5426
15,771
15,5419
15,4253
16,2560
16,5055
16,3592
16,5005
16,1934
16,5519
16,2448
16,2788
16,3992
16,2720
16,1825
16,3087
16,2532
16,285
16,1553
16,4405
16,3769
16,3905
16,5105
16,5190
16,6433
16,5103
16,586
16,1358
16,2639
16,592
16,4434
16,5208
16,4248
16,3931
16,4048
16,996
16,5095
16,3239
16,5873
16,1652
16,3701
16,4342
16,6271
16,6101
17,5867
17,5988
17,389
17,5511
17,1931
17,5260
17,112
17,2552
17,4659
17,2065
17,3258
17,2043
17,3578
17,6526
18,5680
18,690
18,1108
18,1751
18,2692
18,5807
18,2653
18,399
19,4600
19,2115
19,3476
19,1707
19,214
19,3857
19,4120
19,1781
20,2113
20,5008
20,5412
20,1801
20,427
20,1133
20,6158
20,80
20,2260
20,3384
20,596
20,3642
20,4892
21,771
21,3276
21,131
21,726
21,3868
21,1983
22,1025
22,1719
23,2560
23,2885
23,5767
23,74
23,1679
23,1780
23,5397
23,1430
23,4417
23,2468
23,3034
23,2460
23,3677
23,3935
23,2438
23,4454
23,2157
23,2606
23,4413
23,241
23,5828
23,2365
23,695
23,2681
23,3259
23,6140
23,2301
24,5936
24,5217
24,3170
24,1156
24,5161
24,2584
24,132
24,1837
24,3588
25,192
25,2560
25,431
25,92
25,1504
25,4163
25,420
25,4009
25,818
25,5684
25,4854
26,3296
26,2770
26,1670
26,1527
26,312
26,1802
26,6315
27,3459
27,4261
27,3017
27,6476
27,3316
27,6325
27,118
27,4069
27,892
27,2773
28,5601
28,4835
28,3188
28,1877
28,1032
28,6329
28,3642
28,5914
28,5487
29,1824
29,420
29,6246
29,1165
29,4563
29,790
29,1945
29,3130
29,1916
29,506
29,5919
30,2352
30,1667
30,612
30,3305
30,4395
30,1356
30,1261
30,4783
30,3695
30,3867
31,2560
31,6410
31,1388
31,1390
31,455
32,1665
32,3365
32,2584
32,2475
32,1724
32,2367
33,2560
33,3680
33,4363
33,1548
33,591
33,3792
33,3986
33,1242
33,411
33,4064
33,3427
33,763
33,2149
33,1660
33,940
33,5042
33,1334
33,369
34,2181
34,865
34,5314
34,5252
34,3877
34,4458
34,779
34,3888
34,5009
34,1748
34,2773
34,5206
34,4506
34,1915
34,5407
35,2560
35,1538
35,3941
35,4346
35,3292
36,2161
36,5430
36,441
36,4685
36,5893
37,1233
37,2098
37,3004
38,2049
38,4097
38,3080
38,2062
38,5137
38,4114
38,2071
38,3097
38,687
38,3418
38,4126
38,1055
38,5156
38,41
38,3116
38,6190
38,1072
38,2097
38,4146
38,53
38,4150
38,1082
38,6203
38,5182
38,2114
38,2116
38,6215
38,2123
38,2124
38,6224
38,4110
38,3158
38,4185
38,4187
38,94
38,2424
38,5219
38,6244
38,358
38,2015
38,4202
38,5821
38,6258
38,4211
38,5236
38,3262
38,3433
38,4216
38,6265
38,4221
38,1150
38,3093
38,128
38,5250
38,2179
38,5254
38,1900
38,4234
38,535
38,4236
38,3219
38,3585
38,5631
38,5272
38,2202
38,4254
38,1183
38,5188
38,5281
38,3236
38,6317
38,3558
38,5296
38,1847
38,6322
38,180
38,2233
38,193
38,5315
38,197
38,2246
38,5322
38,3277
38,5326
38,2253
38,6520
38,6354
38,3287
38,1244
38,1245
38,5342
38,4320
38,1252
38,5351
38,5353
38,4331
38,3308
38,2285
38,1263
38,6386
38,4339
38,6185
38,2297
38,3626
38,255
38,258
38,259
38,5381
38,262
38,4361
38,2263
38,2318
38,2319
38,2321
38,277
38,1303
38,2330
38,2333
38,2409
38,6431
38,6488
38,1314
38,4827
38,5414
38,5417
38,1325
38,5422
38,4317
38,5424
38,4406
38,4489
38,2360
38,5500
38,2271
38,3388
38,1341
38,1342
38,1343
38,5440
38,4420
38,4662
38,5446
38,6474
38,5454
38,1421
38,1360
38,6542
38,4440
38,5466
38,1935
38,1372
38,2397
38,351
38,6498
38,2619
38,2404
38,5478
38,5481
38,231
38,5229
38,5489
38,1394
38,2422
38,5495
38,1405
38,4483
38,4488
38,5356
38,394
38,1419
38,5517
38,1422
38,401
38,3475
38,1429
38,406
38,2455
38,4505
38,1440
38,2466
38,421
38,2470
38,1449
38,355
38,5548
38,2480
38,5558
38,1464
38,3515
38,1140
38,4546
38,3523
38,2503
38,4381
38,2507
38,460
38,2512
38,5586
38,590
38,5590
38,4345
38,1551
38,5604
38,486
38,2538
38,5612
38,5613
38,1524
38,3573
38,3497
38,4601
38,6359
38,6229
38,4609
38,1282
38,4623
38,2583
38,6404
38,3611
38,3614
38,1285
38,1568
38,3617
38,5670
38,4647
38,554
38,4651
38,2605
38,5679
38,4658
38,2614
38,5690
38,5691
38,2623
38,577
38,5701
38,1163
38,588
38,2638
38,4689
38,4692
38,4698
38,6415
38,5728
38,2665
38,4714
38,620
38,628
38,4727
38,2680
38,5758
38,2687
38,1670
38,3722
38,1474
38,3727
38,2704
38,5777
38,2707
38,4758
38,1687
38,4761
38,1690
38,1695
38,675
38,2728
38,4778
38,4784
38,5811
38,4793
38,1725
38,702
38,5823
38,2753
38,2683
38,3780
38,3781
38,5832
38,2762
38,2769
38,1746
38,4825
38,731
38,1756
38,979
38,2853
38,1761
38,5859
38,5861
38,1769
38,4845
38,5075
38,3710
38,2345
38,761
38,4565
38,770
38,3853
38,3856
38,2686
38,1822
38,2847
38,805
38,3878
38,5927
38,4905
38,1840
38,1841
38,2866
38,820
38,2871
38,3899
38,4926
38,4928
38,4930
38,5955
38,3910
38,1863
38,3895
38,3917
38,846
38,3506
38,3920
38,4945
38,2898
38,853
38,5974
38,1879
38,4956
38,5468
38,4960
38,2915
38,2917
38,870
38,874
38,3947
38,4972
38,4977
38,4981
38,1910
38,1913
38,6013
38,1919
38,896
38,3969
38,898
38,2952
38,3983
38,3907
38,1940
38,3747
38,5014
38,1944
38,5274
38,3998
38,4002
38,931
38,4004
38,6060
38,2418
38,6070
38,4023
38,4024
38,959
38,4032
38,5057
38,3010
38,1991
38,6090
38,1998
38,3948
38,1699
38,203
38,6104
38,6106
38,2011
38,6108
38,5085
38,4063
38,1019
38,2026
38,6126
38,5629
38,6128
38,5108
38,1015
38,6136
38,6139
39,292
40,6208
40,6403
40,4421
40,3461
40,2442
40,4239
40,2993
40,4410
41,640
41,3330
41,6276
41,2570
41,5388
41,4354
41,2703
41,4496
41,1681
41,3351
41,281
41,923
41,2079
41,4640
41,418
41,5915
41,3749
41,3623
41,519
41,2990
41,3761
41,1079
41,705
41,3904
41,2649
41,4168
41,718
41,4818
41,2647
41,1625
41,480
41,1638
41,5479
41,6121
41,4586
41,2912
41,5232
41,760
42,4064
42,2965
42,1142
42,3672
43,1170
43,1155
43,5199
44,2048
44,2393
44,5107
44,5387
45,2560
45,3138
45,5571
45,5383
45,3356
45,4445
45,327
45,6442
45,3629
45,3754
46,5408
46,5893
46,3846
46,6153
46,524
46,920
46,157
46,4769
46,167
46,104
46,4595
46,5243
46,6197
47,6276
47,6154
47,915
47,3620
47,6501
47,549
47,6124
47,1005
47,4979
47,3679
48,4640
48,1058
48,5020
48,4019
48,472
48,5244
49,706
49,771
49,134
49,1771
49,1226
49,363
49,5712
49,1043
49,3477
49,3286
49,1047
49,283
49,4893
49,3489
49,5041
49,1513
49,3882
49,2205
49,3632
49,1211
50,1025
50,901
50,3073
50,1288
50,4941
50,4433
50,5589
50,3228
50,5661
50,3717
50,3039
50,3495
50,2088
50,3847
50,4269
50,120
50,3962
50,4027
50,4501
51,5931
51,4128
51,2059
51,4893
51,2444
51,2764
51,4878
51,3855
51,5614
51,534
51,3101
51,1011
51,738
51,2659
51,3590
51,3627
51,5743
51,669
51,3883
51,307
51,1483
51,3003
51,2589
51,1053
52,1890
52,5330
52,5362
52,1675
52,1741
52,6178
52,2864
52,2130
52,2972
53,3100
53,4460
53,5230
54,4160
54,1665
54,6419
54,5706
54,3665
54,3539
54,6055
54,409
54,4829
54,6241
54,357
54,4969
54,3564
54,2725
54,3186
54,3319
54,891
54,1668
54,4349
54,3327
55,5315
55,1078
55,2193
55,886
55,602
55,465
55,734
55,4197
56,1155
56,2342
56,2598
56,1936
56,4003
56,3989
56,3897
56,1628
57,4211
57,1566
57,428
57,4654
57,4383
58,2560
58,6147
58,4613
58,2310
58,4107
58,3471
58,3745
58,2731
58,6004
58,4810
58,5844
58,3542
58,5847
58,347
58,4449
58,4066
58,6502
58,6516
58,6270
58,2298
58,251
58,3712
59,5184
59,2240
59,1154
59,899
59,2529
59,331
59,1932
59,5199
59,2640
59,3859
59,84
59,344
59,5857
59,2979
59,229
59,2918
59,2311
59,3250
59,3699
59,2491
59,830
60,5968
60,962
61,2560
61,6131
61,3467
61,3022
61,4759
61,152
61,5107
61,1972
61,4408
61,1663
62,3648
62,1921
62,5508
62,584
62,1786
62,6474
62,4492
62,4749
62,3918
62,3361
62,1198
62,3805
62,456
62,2674
62,2867
62,5438
62,442
62,5117
62,4030
63,4320
63,2401
63,1726
63,3391
64,4096
64,2050
