x1,x2
0,428
0,92
1,689
1,1666
1,1147
2,1025
2,132
2,260
2,769
2,1168
2,267
2,398
2,1423
2,1040
2,1432
2,530
2,19
2,920
2,1177
2,923
2,1694
2,287
2,417
2,1443
2,36
2,1158
2,167
2,291
2,1389
2,1287
2,78
2,1327
2,944
2,689
2,690
2,179
2,1455
2,56
2,1850
2,318
2,960
2,1345
2,587
2,1093
2,471
2,289
2,968
2,1867
2,590
2,207
2,848
2,1464
2,1619
2,1876
2,1365
2,983
2,1785
2,1241
2,474
2,1720
2,1193
2,608
2,609
2,866
2,99
2,486
2,913
2,1384
2,1788
2,786
2,1789
2,752
2,1138
2,883
2,766
2,1782
2,425
2,249
2,656
2,1020
2,298
2,126
2,127
3,1543
3,12
3,1422
3,1807
3,1297
3,1557
3,1304
3,669
3,1311
3,928
3,496
3,290
3,291
3,1701
3,422
3,305
3,1320
3,1194
3,428
3,173
3,814
3,1758
3,1593
3,698
3,35
3,1344
3,67
3,1476
3,1142
3,455
3,335
3,557
3,467
3,1621
3,1245
3,1502
3,1829
3,867
3,870
3,103
3,1259
3,880
3,59
3,851
3,628
3,1014
3,504
3,1787
3,1660
3,637
3,894
4,1856
4,369
5,896
5,608
5,585
5,717
5,982
5,864
5,1763
5,1636
5,677
5,1549
5,499
5,820
5,1721
6,769
6,1154
6,1157
6,1414
6,827
6,1367
6,908
6,1026
6,528
6,661
6,1821
6,176
6,806
6,369
6,170
6,45
6,1839
6,560
6,306
6,1843
6,1340
6,441
6,315
6,188
6,1855
6,448
6,1474
6,48
6,1420
6,1739
6,1486
6,589
6,1232
6,654
6,726
6,1337
6,1249
6,358
6,742
6,1532
6,1642
6,235
6,124
6,1135
6,1008
6,1137
6,1909
6,759
6,1045
7,928
7,1827
7,1348
8,1808
8,67
8,148
8,488
8,751
9,897
9,1474
9,1669
9,712
9,139
9,1585
9,195
9,245
9,601
9,351
10,505
10,35
10,151
11,1408
11,769
11,1732
11,391
11,1544
11,777
11,1608
11,784
11,1494
11,984
11,155
11,604
11,1246
11,95
11,1441
11,1634
11,868
11,869
11,817
11,1256
11,1148
11,1260
11,116
11,110
11,1140
11,189
11,1726
12,821
12,647
12,489
13,446
14,290
14,1706
14,893
14,62
14,409
14,996
15,36
15,261
15,1257
15,1234
15,85
15,342
15,1333
16,1090
16,323
16,1476
16,161
16,1033
16,1356
16,1102
16,1039
16,37
16,1239
16,24
16,1370
16,666
16,1541
16,738
16,1066
16,432
16,881
16,1589
16,440
16,1485
16,636
17,1641
18,305
18,1374
19,523
19,1067
19,899
19,1108
19,682
19,26
19,1533
20,576
20,35
20,580
20,1354
20,612
20,788
20,1279
21,1408
21,513
21,1166
21,340
21,341
21,1687
21,1183
21,1254
21,1711
22,1269
22,862
22,315
22,1896
22,1673
22,1201
22,1155
22,180
22,565
22,470
22,119
22,383
22,478
23,1660
24,1280
24,514
24,1185
24,1416
24,1737
24,781
24,205
24,1326
24,1175
24,1825
24,736
24,553
24,106
24,175
24,1456
24,1329
24,114
24,1267
24,630
24,887
24,374
25,1669
25,1170
25,1539
25,149
25,219
25,1442
25,1197
26,258
26,107
26,388
26,265
26,1290
26,1351
26,910
26,109
26,657
26,1307
26,541
26,645
26,1824
26,113
26,732
26,1835
26,1196
26,1841
26,818
26,437
26,1207
26,104
26,1213
26,319
26,1184
26,1602
26,1220
26,970
26,460
26,1741
26,1614
26,120
26,399
26,1877
26,975
26,1503
26,352
26,1761
26,995
26,1892
26,1002
26,363
26,621
26,502
26,250
26,1255
26,1535
27,1758
27,1793
27,198
27,840
27,823
27,976
27,1431
27,472
27,725
27,477
27,1104
27,1083
27,1189
27,102
27,1012
27,713
27,830
28,1297
28,303
28,423
28,1387
28,1579
29,769
29,1411
29,567
29,517
29,1670
29,404
29,1308
29,798
29,1169
29,686
29,57
29,957
29,1736
29,1871
29,592
29,849
29,605
29,1383
29,1007
29,754
29,1911
29,1483
29,1598
29,638
30,1287
30,411
30,598
30,312
30,1036
30,1647
31,1259
31,197
31,201
31,1676
31,430
31,1433
31,217
31,1811
31,447
31,1146
32,1226
32,261
32,63
33,769
33,439
33,209
33,1179
33,924
33,688
33,1700
33,679
33,424
33,810
33,1266
33,492
33,1844
33,1467
33,317
33,575
33,1312
33,322
33,324
33,1221
33,1095
33,457
33,332
33,1361
33,84
33,1372
33,101
33,989
33,479
33,337
33,743
33,874
33,747
33,1388
33,493
33,1180
33,1015
33,1784
33,1236
33,1662
34,1104
35,520
35,87
35,1038
35,536
35,1052
35,549
35,555
35,1068
35,1288
35,564
35,1084
35,577
35,578
35,70
35,952
35,1209
35,1121
35,610
35,615
35,1640
35,1648
35,1659
35,1664
35,1677
35,1167
35,147
35,150
35,1392
35,674
35,1195
35,1053
35,1202
35,1206
35,1727
35,709
35,715
35,1228
35,1744
35,1745
35,1747
35,1314
35,1754
35,734
35,227
35,746
35,1263
35,753
35,1268
35,248
35,1274
35,1151
35,1790
35,264
35,1293
35,1298
35,278
35,1822
35,802
35,390
35,807
35,812
35,816
35,828
35,325
35,1863
35,336
35,338
35,350
35,353
35,1851
35,1386
35,877
35,367
35,403
35,375
35,378
35,392
35,1418
35,919
35,911
35,912
35,1426
35,915
35,916
35,1496
