x1,x2
0,1860
0,2596
0,598
0,646
0,1800
0,297
0,907
0,3948
0,3534
0,2767
0,208
0,85
0,1302
0,2425
0,2510
0,57
0,1786
0,251
0,1725
0,3294
1,3633
1,4082
1,6
1,2535
1,1800
1,1866
1,571
1,1276
1,2589
2,3
2,1348
2,1477
2,646
2,2567
2,648
2,1165
2,3480
2,2578
2,3348
2,344
2,2777
2,1560
2,2832
2,3665
2,3754
2,367
2,568
2,2879
3,1537
3,1027
3,2052
3,2054
3,3592
3,11
3,514
3,1040
3,3160
3,4114
3,4014
3,89
3,2072
3,819
3,3759
3,1052
3,3103
3,4212
3,2599
3,1331
3,46
3,562
3,2618
3,3679
3,1087
3,2114
3,3651
3,1604
3,1094
3,2119
3,1097
3,4173
3,1037
3,2135
3,3672
3,601
3,2138
3,4026
3,2655
3,3680
3,1552
3,3683
3,1125
3,102
3,106
3,4203
3,3692
3,1651
3,2561
3,2167
3,123
3,2685
3,2179
3,1669
3,4233
3,3211
3,140
3,1678
3,2940
3,4120
3,2562
3,3779
3,1684
3,662
3,154
3,171
3,1199
3,2735
3,3784
3,3250
3,2739
3,2740
3,2229
3,3785
3,1721
3,2235
3,4285
3,2750
3,203
3,1732
3,4293
3,1222
3,2248
3,716
3,2250
3,2679
3,3276
3,891
3,2281
3,3306
3,2286
3,3313
3,2806
3,1274
3,2812
3,4351
3,770
3,1286
3,3457
3,3336
3,4361
3,2826
3,268
3,270
3,1782
3,814
3,816
3,2342
3,3882
3,1837
3,1326
3,815
3,3376
3,307
3,1333
3,822
3,1341
3,1346
3,3913
3,844
3,1869
3,1873
3,1874
3,4238
3,1882
3,2403
3,3428
3,4241
3,366
3,3440
3,1395
3,2932
3,886
3,2537
3,2111
3,2428
3,746
3,3455
3,896
3,2945
3,150
3,4076
3,2882
3,1424
3,2961
3,3986
3,403
3,1430
3,3479
3,409
3,3482
3,2974
3,931
3,934
3,424
3,3499
3,3475
3,2990
3,1968
3,945
3,2995
3,2462
3,1465
3,442
3,4028
3,3517
3,246
3,1478
3,3817
3,3021
3,2059
3,3681
3,2009
3,3547
3,3036
3,1840
3,1506
3,1510
3,1513
3,4075
3,3564
3,2030
3,1520
3,1448
3,1523
3,1524
3,3578
4,1122
4,3339
4,2116
4,117
4,918
4,1831
4,475
4,1403
4,1955
4,4302
5,646
6,1024
6,2131
6,2563
6,261
6,2822
6,3841
6,1032
6,3849
6,2315
6,1295
6,3349
6,2070
6,316
6,537
6,3100
6,1330
6,3108
6,1824
6,2337
6,4033
6,3364
6,1830
6,3112
6,1322
6,2092
6,946
6,1070
6,3887
6,1072
6,3720
6,2610
6,1807
6,2617
6,4155
6,3744
6,2364
6,1093
6,1249
6,1864
6,3657
6,1612
6,589
6,2896
6,3410
6,83
6,84
6,3158
6,2903
6,4187
6,2746
6,3141
6,3684
6,188
6,3004
6,2646
6,1682
6,730
6,4208
6,4209
6,1581
6,373
6,1143
6,217
6,1404
6,1405
6,3198
6,3644
6,640
6,129
6,619
6,4066
6,1159
6,1416
6,3209
6,4224
6,1676
6,653
6,3983
6,146
6,1731
6,2965
6,2201
6,1181
6,3743
6,2464
6,1444
6,3749
6,1958
6,2665
6,2472
6,1961
6,2846
6,1197
6,1053
6,178
6,1973
6,2233
6,2490
6,4283
6,956
6,701
6,3007
6,2241
6,450
6,2243
6,3270
6,455
6,2504
6,678
6,3661
6,2768
6,2001
6,470
6,36
6,218
6,1755
6,2170
6,223
6,2512
6,1190
6,977
6,2026
6,2429
6,110
6,3055
6,2801
6,499
6,3326
6,1783
6,3834
6,1022
7,1561
7,2671
8,3184
8,2243
8,3910
8,550
8,1034
8,459
8,1487
8,912
8,2964
8,1559
8,1309
9,3104
9,216
9,1310
9,1300
9,3156
9,1943
9,1800
9,3369
10,22
10,1800
10,1545
10,1162
10,2317
10,3422
10,3928
10,3989
10,918
10,4121
10,3102
10,3871
10,798
10,547
10,3365
10,2983
10,3625
10,1709
10,3549
10,1456
10,3508
10,181
10,2614
10,443
10,3645
10,1598
10,480
10,2626
10,3524
10,3861
10,4172
10,88
10,3545
10,91
10,3420
10,4317
10,1374
10,2912
10,3041
10,1507
10,4329
10,1901
10,2542
10,4339
10,3316
10,3561
10,1149
10,3222
10,895
11,2176
11,3205
11,838
11,396
11,3781
11,2963
11,2457
11,1562
11,3119
11,3484
11,3237
11,2273
11,342
11,3183
11,1180
11,1335
11,319
12,370
12,1749
12,598
12,2824
12,1758
13,2008
13,2979
13,1749
13,1366
13,2808
13,1897
13,2483
13,3981
14,3906
14,1638
14,550
14,3057
14,304
14,49
14,51
14,279
14,3608
14,4090
14,1855
15,3205
16,912
16,3228
16,2190
17,3972
17,834
17,1916
17,3781
18,2768
18,1808
18,3446
18,2458
18,492
18,429
18,2639
19,568
19,413
20,384
20,2489
20,459
20,582
20,1463
20,3598
20,534
20,2649
20,796
20,1829
20,97
20,3362
20,4136
20,2217
20,743
20,3822
20,4143
20,2160
20,1777
20,1798
20,4073
20,3579
20,252
20,830
21,2692
21,598
21,2854
21,3347
21,4107
21,2000
21,3219
21,469
21,2583
22,3458
22,667
22,54
22,2182
22,471
22,507
22,478
23,3953
23,3282
23,2371
23,342
23,1814
23,2615
23,2394
24,1456
24,2788
24,3766
24,3801
24,3802
24,686
25,907
25,228
25,3414
25,62
26,3651
26,3819
26,2698
26,3751
26,1383
26,108
26,240
26,520
26,1913
26,3263
27,912
28,1709
28,4087
28,2956
28,4301
29,976
29,3172
29,917
30,1772
30,2005
31,528
31,3972
31,4165
31,1926
31,557
31,1646
31,1391
31,1492
31,3765
31,740
31,3930
31,2943
32,912
32,789
32,4313
32,2297
33,1056
33,1089
33,98
33,2020
33,2119
33,1098
33,3243
33,2818
33,2319
33,2353
33,2350
34,1026
34,3203
34,1156
34,3879
34,1276
34,236
34,1518
34,2127
34,1680
34,1746
34,2574
34,3319
34,314
34,732
34,3038
34,1599
35,3972
35,2923
35,755
35,828
36,128
36,1550
36,1558
36,4249
36,1797
36,4001
36,2797
36,3368
36,2396
36,813
36,3124
36,1880
36,2010
36,1120
36,323
36,4202
36,2514
36,1137
37,2115
37,1749
37,1768
37,2073
37,331
37,1100
37,4029
38,912
38,3011
38,3380
38,904
38,1033
38,2007
38,2546
38,1204
38,2293
38,4281
38,4376
39,646
40,1585
40,1891
40,2132
40,2501
40,2902
40,968
40,3465
40,3580
40,2525
40,4239
41,1344
41,1495
41,1829
41,3343
41,53
42,210
42,3348
42,578
42,2580
43,768
43,1683
43,1829
43,1959
43,4089
43,215
44,336
44,3482
44,348
44,2743
45,4096
45,993
45,2626
45,2533
45,832
45,257
45,1352
45,2669
45,239
45,3952
45,1233
45,1298
45,2612
45,4309
45,2237
45,1278
47,3184
47,2418
47,933
48,448
48,3184
48,4354
48,3433
48,202
48,2731
48,2338
48,1474
48,506
49,693
50,2979
50,458
50,779
50,972
50,4298
51,1884
51,3855
52,3184
52,1092
52,1857
52,651
52,3195
52,636
53,3891
53,3878
53,2041
53,3607
54,2432
54,2693
54,1999
54,4308
54,2976
54,4065
54,3426
54,2919
54,4221
54,1591
55,528
55,964
55,903
55,2804
55,3758
55,656
55,1780
55,3094
55,1239
55,3256
55,4059
55,2970
55,3902
56,1344
56,3724
56,3587
56,4190
56,438
56,2295
56,2569
56,1082
56,3308
56,174
57,3334
57,4103
57,4367
57,2323
57,3092
57,2838
57,3351
57,793
57,1306
57,541
57,2847
57,2848
57,2856
57,2090
57,1579
57,2351
57,3889
57,2951
57,3126
57,2616
57,1375
57,3143
57,2880
57,2784
57,1606
57,2099
57,2634
57,846
57,2385
57,3666
57,852
57,1621
57,1623
57,3161
57,1115
57,1372
57,2662
57,2447
57,4199
57,364
57,3181
57,625
57,1650
57,3859
57,3518
57,382
57,391
57,650
57,2191
57,3738
57,1956
57,1962
57,427
57,3501
57,1139
57,787
57,186
57,3260
57,446
57,704
57,1990
57,1660
57,1227
57,4044
57,468
57,1241
57,220
57,2013
57,222
57,677
57,4320
57,1505
57,995
57,2276
57,3304
57,233
57,751
57,2290
57,3580
57,247
58,944
58,4082
59,3440
59,983
60,3800
60,1699
60,598
60,3352
60,1206
61,384
61,2736
62,4356
62,2503
62,2312
62,3401
62,2058
62,269
62,973
62,3603
62,2803
62,94
62,1232
62,3945
62,2301
62,243
62,3711
63,2777
63,3178
63,727
63,2935
63,2969
63,204
63,1244
63,510
64,3458
64,2756
64,103
64,4306
64,715
64,2414
65,1888
65,3661
65,79
66,578
66,1603
66,1494
66,2694
66,1799
66,139
66,2255
66,3921
66,2011
66,96
66,2922
66,3973
66,703
67,2929
67,1562
67,349
68,3104
69,1794
69,1829
69,1802
69,1214
69,318
70,3521
70,459
70,2635
70,141
70,1043
70,536
70,3554
70,3040
70,3875
70,1706
70,2223
71,954
71,2902
72,1264
72,1800
72,4022
72,2349
73,3897
73,620
74,4099
74,135
74,776
74,3082
74,396
74,271
74,2307
74,532
74,281
74,2587
74,797
74,4126
74,543
74,672
74,2339
74,1672
74,2609
74,4018
74,2484
74,4234
74,1865
74,1592
74,970
74,1854
74,3905
74,1988
74,3653
74,1480
74,3596
74,1359
74,3281
74,2851
74,2169
74,1752
74,3676
74,229
74,3964
74,3437
74,1905
74,1396
74,3763
74,1526
74,1769
74,4151
74,2239
74,638
75,3104
75,4147
76,3299
76,1916
76,981
77,598
78,1435
78,3046
79,2448
79,198
79,3386
80,1749
81,1800
81,3035
82,2865
82,1725
83,1481
83,573
83,3033
84,4355
84,3125
85,3568
85,362
86,169
86,995
87,598
88,1986
88,2183
88,1176
88,2905
88,3745
88,866
88,3497
88,1644
88,1202
88,1912
88,3531
89,2909
90,578
91,3975
91,788
91,3221
91,580
91,1849
91,2502
91,3153
91,3284
91,2268
91,737
91,1385
91,2538
91,501
91,1147
91,3818
92,646
93,2425
94,3331
94,3016
94,300
94,1388
94,1325
94,1263
94,3634
94,4158
94,2106
95,3469
95,741
95,3885
95,3182
95,2223
96,1177
97,1544
97,1546
97,2064
97,3089
97,2393
97,3609
97,2076
97,1568
97,1569
97,2097
97,3764
97,4157
97,1086
97,4277
97,3659
97,3148
97,1605
97,1108
97,2645
97,2140
97,1642
97,3687
97,3261
97,120
97,2681
97,1146
97,136
97,658
97,147
97,2711
97,4250
97,4038
97,3230
97,2719
97,161
97,2722
97,163
97,3526
97,3769
97,2752
97,2755
97,3794
97,2270
97,805
97,1252
97,4332
97,3197
97,4344
97,2809
97,3837
97,2814
97,2944
97,2828
97,3344
97,2330
97,3868
97,285
