x1,x2
0,2016
0,1870
0,886
0,2342
0,2087
0,1448
0,1166
0,391
0,1676
0,46
0,2096
0,2696
0,2738
0,1934
0,2166
0,376
0,25
0,878
0,101
1,2715
1,358
1,806
1,2223
2,841
2,935
2,1676
2,1164
2,1459
2,590
2,77
2,944
2,1779
2,2004
2,181
2,631
2,2521
2,766
3,705
3,2738
3,646
3,1686
3,465
3,842
3,2588
3,158
4,384
4,705
4,1793
4,535
4,458
4,2327
4,589
4,2383
4,17
4,887
4,1876
4,983
4,1367
4,2583
4,2010
4,1050
4,94
4,98
4,2022
4,295
4,2280
4,1065
4,171
4,2156
4,2223
4,951
4,538
4,1402
4,1659
4,2366
5,512
5,384
5,2050
5,2565
5,2567
5,264
5,12
5,1037
5,685
5,531
5,2582
5,536
5,284
5,541
5,287
5,34
5,2086
5,40
5,2089
5,1066
5,1580
5,563
5,1590
5,2133
5,1858
5,1861
5,850
5,85
5,2647
5,2136
5,1636
5,2664
5,1907
5,372
5,888
5,378
5,2429
5,2430
5,128
5,1417
5,401
5,146
5,1518
5,1438
5,1349
5,1192
5,540
5,2219
5,429
5,2737
5,1183
5,1214
5,959
5,707
5,1476
5,2249
5,1015
5,290
5,461
5,723
5,2264
5,989
5,1758
5,1761
5,2026
5,2542
5,2446
5,2295
5,2041
5,2557
5,1109
6,39
6,1116
6,1197
6,222
6,662
7,705
7,1154
7,644
7,2246
7,1735
7,1675
7,654
7,2563
7,2168
7,1755
7,1960
7,352
7,482
7,1508
7,2604
7,365
7,1652
7,821
7,1274
7,21
7,2367
8,2327
8,1411
8,1062
8,923
8,2225
8,24
8,825
8,1819
8,125
9,384
9,1025
9,2308
9,2693
9,2321
9,1753
9,2203
9,2590
9,1846
9,1219
9,2245
9,1479
9,985
9,2448
9,2667
9,1132
9,1778
9,2037
9,84
10,1777
10,548
10,2462
10,1351
10,2521
10,193
10,715
10,925
10,2207
11,257
12,256
12,1551
12,784
12,2579
12,2222
12,792
12,281
12,1306
12,546
12,2618
12,1572
12,551
12,2601
12,2093
12,302
12,306
12,2101
12,1078
12,2362
12,2111
12,1376
12,579
12,609
12,592
12,1618
12,2131
12,1828
12,2134
12,92
12,2653
12,1060
12,2400
12,865
12,699
12,2661
12,913
12,616
12,1129
12,619
12,1388
12,2669
12,1896
12,371
12,2688
12,1668
12,1669
12,2182
12,651
12,145
12,2450
12,2708
12,1685
12,407
12,2459
12,1948
12,1182
12,2464
12,1156
12,1195
12,1454
12,1203
12,1723
12,447
12,2241
12,2584
12,1233
12,2517
12,1754
12,220
12,478
12,1770
12,2343
12,1772
12,2386
12,506
12,763
13,705
13,194
13,68
13,1158
13,839
13,2507
13,659
13,148
13,442
13,2519
13,1379
13,87
14,1344
14,705
14,2724
14,486
14,232
14,1292
14,2132
14,2390
14,1177
15,2498
15,806
15,1867
15,460
15,1773
15,1716
15,309
15,1786
16,978
16,1922
16,835
16,841
16,1302
16,1374
16,2119
16,2764
16,1742
16,1810
16,2451
16,853
16,2072
16,217
16,27
16,1433
16,1635
16,1187
16,2444
16,43
16,1198
16,433
16,1524
16,2551
16,1146
16,1630
16,2414
16,2718
17,518
17,2058
17,527
17,533
17,2585
17,2079
17,39
17,1071
17,48
17,49
17,1075
17,1178
17,1595
17,572
17,2109
17,2112
17,1603
17,1095
17,72
17,1194
17,587
17,1616
17,594
17,1622
17,1624
17,89
17,1120
17,2663
17,1133
17,1646
17,117
17,430
17,1149
17,126
17,1151
17,640
17,2178
17,2411
17,1672
17,2186
17,2702
17,2704
17,2706
17,1171
17,152
17,665
17,666
17,1186
17,1191
17,2728
17,1706
17,1196
17,2221
17,642
17,179
17,695
17,184
17,2234
17,2237
17,2243
17,1399
17,883
17,1746
17,727
17,2268
17,1760
17,1250
17,2276
17,1767
17,2283
17,466
17,239
17,754
17,1784
17,1275
17,254
17,1280
17,2317
17,270
17,1295
17,787
17,795
17,2333
17,2338
17,1317
17,811
17,2349
17,51
17,2357
17,1852
17,318
17,831
17,2372
17,1862
17,2376
17,2387
17,2388
17,341
17,343
17,858
17,143
17,557
17,1375
17,2403
17,870
17,142
17,363
17,1900
17,877
17,2419
17,1398
17,891
17,2428
17,385
17,1923
17,1925
17,2440
17,906
17,1937
17,402
17,1429
17,1944
17,1947
17,2460
17,2202
17,416
17,420
17,2472
17,1436
17,938
17,1452
17,1965
17,435
17,440
17,445
17,960
17,1990
17,1991
17,2722
17,2511
17,2000
17,1496
17,1504
17,80
17,995
17,493
17,1021
17,2032
17,2036
17,1790
17,502
17,2040
17,1529
17,2045
17,1534
18,384
18,1029
18,1453
19,32
19,1344
19,2709
19,475
20,2560
20,1858
21,1792
21,1027
21,1918
21,522
21,781
21,88
21,530
21,1049
21,1993
21,286
21,1311
21,2336
21,1057
21,2148
21,556
21,2351
21,561
21,564
21,1589
21,59
21,53
21,1342
21,1077
21,2114
21,1347
21,1093
21,1094
21,1633
21,1352
21,1353
21,1873
21,1619
21,345
21,861
21,353
21,611
21,941
21,108
21,366
21,879
21,1649
21,1397
21,1401
21,894
21,1599
21,1150
21,2752
21,1155
21,389
21,1927
21,834
21,2447
21,1683
21,1428
21,2198
21,2711
21,1688
21,1693
21,414
21,417
21,166
21,1447
21,681
21,1451
21,2736
21,945
21,178
21,1971
21,1972
21,1206
21,2231
21,189
21,2377
21,1216
21,1822
21,1225
21,2763
21,1486
21,721
21,2258
21,2260
21,990
21,2272
21,481
21,2020
21,789
21,743
21,2538
21,1959
21,1264
21,501
21,1270
21,2473
21,1663
21,764
21,170
21,605
21,511
22,1793
22,2123
22,819
22,1563
22,2398
23,465
23,838
24,2536
24,396
24,400
24,1561
24,2593
24,2339
24,191
24,2373
24,2250
24,1750
24,728
24,1245
24,350
24,223
24,866
24,361
24,1265
24,1394
24,630
24,617
24,2555
24,2559
25,1796
25,1545
25,794
25,2332
25,2085
25,52
25,2106
25,2485
25,1600
25,2648
25,2396
25,621
25,1911
25,890
25,1404
25,2686
25,1921
25,1414
25,398
25,670
25,1952
25,2239
25,968
25,1996
25,1748
25,991
25,228
25,2539
25,749
25,1006
25,2173
25,752
25,753
25,499
25,1780
25,1019
26,1474
26,2507
26,2731
26,1296
26,157
27,2048
27,1303
27,2201
27,2216
27,2733
27,624
27,702
27,2303
28,608
28,352
28,1054
29,1793
29,1290
30,768
30,1665
30,1027
30,1163
30,1147
30,2208
30,2083
30,421
30,294
30,2476
30,1456
30,1458
30,347
30,62
30,1515
30,192
30,2038
30,1350
30,1998
30,1115
30,2147
30,2496
30,598
30,856
30,2393
30,1501
30,1123
30,1124
30,102
30,1387
30,374
30,1727
30,2175
31,1344
31,81
31,1992
31,74
31,2315
31,1485
31,1038
31,2138
31,731
31,2310
31,2150
31,1692
31,115
31,948
31,757
31,2230
31,760
31,1843
31,1722
32,2052
32,262
32,1880
32,1757
32,474
32,2019
32,38
32,1131
32,622
32,952
33,465
33,2651
33,1005
34,2497
34,76
34,2646
34,1627
34,1435
34,740
34,1341
35,1907
36,2321
36,917
37,517
37,326
37,1351
37,1644
37,276
37,1749
37,346
37,745
37,2493
38,904
38,1933
38,2677
38,1902
38,1176
38,2329
38,410
38,2469
38,1702
38,2475
38,773
38,1719
38,2617
38,2623
38,64
38,67
38,1221
38,1396
38,845
38,1494
38,292
38,734
38,2213
38,992
38,2603
38,1891
38,1382
38,1000
38,625
38,903
39,1293
39,1941
39,667
39,1314
39,1064
39,313
39,2228
39,2656
39,706
39,1783
39,2645
39,2008
39,280
39,2655
39,2533
39,2278
39,999
39,2046
40,683
40,516
40,2762
40,2065
40,1557
40,2078
40,2597
40,42
40,2098
40,1076
40,2313
40,2616
40,57
40,2622
40,1606
40,79
40,1620
40,697
40,1112
40,868
40,1117
40,869
40,2748
40,1643
40,113
40,114
40,629
40,1660
40,1682
40,669
40,1696
40,2721
40,1190
40,2729
40,682
40,1204
40,1205
40,1207
40,2744
40,2745
40,1745
40,1211
40,188
40,1228
40,203
40,204
40,1759
40,1251
40,230
40,1271
40,761
40,252
40,772
40,775
40,1801
40,2316
40,797
40,798
40,1313
40,298
40,2352
40,1329
40,818
40,820
40,311
40,824
40,1588
40,314
40,1358
40,1363
40,2404
40,1381
40,1906
40,285
40,889
40,383
40,1410
40,1929
40,1419
40,2449
40,914
40,406
40,408
40,2468
40,422
40,1449
40,1445
40,1460
40,441
40,961
40,450
40,966
40,969
40,759
40,2518
40,2012
40,1957
40,1513
40,2545
40,1525
40,509
40,1022
41,2560
41,1541
41,2314
41,214
41,271
41,1756
41,2725
41,1642
41,2482
41,243
42,1232
42,1403
42,379
42,1253
43,2695
43,393
43,1300
43,1439
43,692
43,1463
43,2104
43,828
43,710
43,2515
43,2541
43,881
44,2603
44,1284
44,1802
44,2573
44,528
44,1555
44,1055
44,805
44,1324
44,1585
44,50
44,1845
44,2103
44,316
44,2115
44,1106
44,863
44,1889
44,1890
44,2406
44,1144
44,1684
44,381
44,902
44,1701
44,176
44,437
44,452
44,2758
44,2505
44,2510
44,2509
44,1234
44,2425
44,1320
44,250
45,2523
46,2051
46,774
46,778
46,1808
46,664
46,543
46,1277
46,1442
46,931
46,291
46,1968
46,568
46,415
46,1478
46,2635
46,2640
46,1747
46,1368
46,2528
46,1135
46,1776
46,296
47,841
48,2506
48,2570
48,2595
48,1067
48,1632
48,1130
48,2678
48,1655
48,2325
48,663
48,2717
48,2730
48,2242
48,489
48,1239
48,268
48,277
48,2330
48,2346
48,1838
48,1864
48,1370
48,2407
48,1904
48,2431
48,2441
48,1936
48,921
48,1949
48,1691
48,1179
48,1437
48,444
48,988
48,2025
48,1003
48,1516
48,2035
48,2540
49,1857
49,2070
49,1670
49,2185
49,854
49,2522
49,226
49,926
50,301
50,2099
50,2379
50,2759
50,354
50,1121
50,1637
50,1383
50,1512
50,1519
51,2312
51,826
51,1855
51,1868
51,2657
51,900
51,427
51,2719
51,1226
51,1001
52,1736
52,1877
52,1425
52,1969
52,575
52,1407
53,177
54,976
54,707
54,2128
55,633
55,1853
56,2327
56,2454
56,2055
57,1662
57,981
58,465
59,1542
59,2571
59,2331
59,2356
59,793
59,1601
59,2418
59,2238
59,668
59,676
59,949
59,1720
59,1484
59,1979
60,705
60,1365
60,2591
60,591
61,944
61,1592
61,1752
63,1552
63,465
63,633
64,1307
64,1823
64,91
64,2130
64,2165
65,2016
65,946
66,992
66,1987
66,2108
66,2159
66,2289
66,2740
66,1689
68,2049
68,2063
68,1548
68,1798
68,2088
68,2094
68,827
68,321
68,86
68,1879
68,1167
68,111
68,882
68,123
68,2420
68,1657
68,2438
68,1928
68,920
68,672
68,436
68,950
68,2292
68,970
68,714
68,2427
68,1510
68,2172
68,808
68,1781
68,2297
69,2308
69,2296
70,707
70,1028
70,2698
70,1490
70,218
70,424
71,1075
71,1061
71,566
71,1916
72,1113
72,927
73,2432
73,640
73,2435
73,1137
73,2189
73,2061
73,1488
73,1731
73,480
73,1040
73,2481
73,362
73,1455
73,1461
74,299
74,2503
74,532
74,1818
74,1653
74,967
75,465
75,1208
75,1299
76,2631
76,2650
76,2654
77,2056
77,258
77,2394
77,304
77,1674
77,225
77,1102
77,1626
77,650
77,357
77,2151
77,2364
77,1138
77,737
77,1409
77,132
77,2443
77,1962
77,1708
77,1651
77,182
77,2760
77,2765
77,982
77,490
77,971
77,494
78,384
78,1039
78,1304
78,998
78,1335
78,2741
78,1082
78,580
78,2757
78,213
78,2023
78,1850
78,1266
78,1785
78,2300
78,2685
79,503
79,265
79,1168
79,1174
79,1431
79,1951
79,1700
79,813
79,2122
79,782
79,1892
79,1017
79,2171
79,1237
81,2113
81,1157
81,2436
81,545
81,1260
81,623
81,1909
81,954
82,482
82,93
82,1814
83,2096
84,2075
84,2572
84,210
84,2259
84,1942
84,603
84,1950
84,1051
84,2028
84,880
84,1714
84,1338
85,1045
85,2586
85,1568
85,1887
85,2625
85,586
85,601
85,224
85,1258
85,2359
85,2375
85,1882
85,2279
85,2455
85,2370
85,928
85,1181
85,963
85,2017
86,1185
86,1932
86,2767
87,2732
90,304
91,196
91,1482
91,788
91,2009
91,1883
91,1074
91,1726
92,520
92,2361
92,2074
92,382
92,394
92,151
92,1751
93,898
93,2700
93,2705
93,150
93,1184
93,332
93,1100
93,2121
93,472
93,1893
93,1774
94,2561
94,1034
94,524
94,2080
94,2594
94,1573
94,2064
94,560
94,1073
94,565
94,2615
94,1080
94,1127
94,576
94,581
94,2713
94,2638
94,2127
94,1617
94,1108
94,2142
94,97
94,1634
94,103
94,1128
94,1645
94,1134
94,112
94,1140
94,2177
94,135
94,791
94,1170
94,673
94,674
94,943
94,1705
94,1821
94,698
94,701
94,2337
94,200
94,1737
94,2253
94,1235
94,1236
94,735
94,747
94,1261
94,893
94,240
94,127
94,770
94,263
94,1803
94,1805
94,785
94,1817
94,283
94,2608
94,1827
94,2340
94,2097
94,977
94,1325
94,814
94,1247
94,2365
94,1343
94,505
94,837
94,1505
94,1356
94,1360
94,849
94,570
94,199
94,1888
94,2408
94,875
94,2413
94,1390
94,1391
94,336
94,1395
94,885
94,2424
94,905
94,1173
94,1954
94,582
94,1450
94,940
94,919
94,1982
94,2504
94,1492
94,2126
94,1495
94,1105
94,2537
94,1002
94,249
94,498
94,2044
95,376
96,316
97,647
97,1812
97,2465
97,812
97,1201
97,892
98,2611
98,1378
98,652
98,1860
98,817
98,1703
98,696
98,185
98,801
98,1997
98,1491
98,2382
98,1243
98,2556
98,1263
98,1011
98,2071
99,1920
99,2626
99,1733
99,198
99,841
99,2135
99,1579
99,1584
99,369
99,1087
100,2521
101,1540
101,1593
101,349
102,2311
102,1420
102,751
102,1564
102,1224
102,2273
102,1763
102,2662
102,2031
102,2162
104,1367
104,1289
104,1517
104,1878
104,2649
104,2014
105,1432
106,2225
107,2617
108,1815
108,1318
108,2491
108,1104
108,641
108,680
108,2224
108,2463
108,980
108,739
108,2290
109,384
110,944
111,1018
111,613
111,2674
111,2229
111,1718
111,2298
112,2637
112,916
112,1321
113,717
113,1334
113,1400
113,2409
113,404
113,434
113,1715
113,497
114,1288
114,147
114,1842
114,910
114,2552
115,1832
115,2644
115,599
115,2392
115,1901
115,118
115,1924
115,1945
115,932
115,1961
115,1710
115,2735
115,2236
115,454
115,462
115,975
115,1238
116,465
117,2569
117,1549
117,2642
117,2153
117,1661
117,626
117,1217
117,2422
117,1769
117,1259
117,756
117,2516
117,282
117,1820
117,1835
117,329
117,1366
117,1222
117,947
117,453
117,2523
119,944
120,992
120,2477
121,193
121,1254
121,732
121,1834
121,1597
122,1739
122,1676
122,1681
122,2021
122,634
123,911
123,2480
123,140
123,871
123,2558
124,944
124,131
125,1554
125,1096
125,373
126,2628
126,2580
126,2457
126,678
126,467
126,1256
126,495
126,2033
127,2205
127,2274
127,1571
127,1531
128,648
128,2163
128,2360
128,2676
129,952
130,2560
130,922
130,2341
130,1467
131,259
131,1610
131,335
131,736
131,1380
131,2401
131,370
133,1285
134,2225
