x1,x2
0,1161
0,2130
0,1667
0,2156
0,1991
1,1924
1,518
1,2055
1,2057
1,1803
1,780
1,152
1,281
1,411
1,1179
1,2084
1,555
1,50
1,1199
1,1457
1,2226
1,1843
1,436
1,822
1,1847
1,568
1,697
1,957
1,447
1,1603
1,1078
1,1225
1,1720
1,888
1,80
1,721
1,2138
1,861
1,1759
1,1507
1,1254
1,1256
1,105
1,1514
1,1901
1,1905
1,1778
1,758
1,1911
1,1272
1,1661
2,2145
2,2275
2,2177
2,1288
2,2209
2,2090
2,1900
2,881
2,2030
2,2191
2,1520
2,1425
2,1714
2,220
2,1237
2,2153
2,921
2,1340
2,2186
2,351
3,265
4,1864
4,900
4,1939
4,1556
5,555
5,78
5,820
6,1976
6,2266
6,1741
6,2263
7,2195
7,1989
7,1462
8,513
8,1797
8,1287
8,2263
8,1292
8,785
8,530
8,1560
8,1057
8,1314
8,291
8,1316
8,1063
8,477
8,1328
8,825
8,1595
8,1908
8,65
8,1093
8,72
8,586
8,1770
8,1379
8,1108
8,341
8,2202
8,2135
8,859
8,1888
8,98
8,59
8,1128
8,1129
8,2023
8,877
8,1647
8,112
8,625
8,1906
8,116
8,1909
8,1058
8,617
8,1657
8,381
8,1385
8,384
8,875
8,1157
8,144
8,24
8,1939
8,1689
8,410
8,1437
8,1695
8,418
8,2212
8,1446
8,1705
8,1453
8,304
8,177
8,953
8,961
8,963
8,199
8,1736
8,1995
8,718
8,722
8,213
8,1494
8,983
8,292
8,2011
8,1757
8,1246
8,740
8,231
8,2024
8,1258
8,1319
8,451
8,2031
8,206
8,1782
8,1193
8,762
8,1787
8,508
8,765
9,1939
9,1333
9,806
9,1497
9,2235
9,1356
9,1054
10,1921
10,1285
10,897
10,1547
10,1013
10,2192
10,1409
10,2199
10,2204
10,2053
10,1569
10,296
10,1321
10,2221
10,2223
10,2225
10,699
10,956
10,829
10,2165
10,1344
10,1988
10,1606
10,1224
10,841
10,970
10,1622
10,1232
10,1492
10,2134
10,1495
10,1750
10,2013
10,1247
10,1303
10,1887
10,443
10,1127
10,572
10,1898
10,1895
10,366
10,370
10,373
10,1398
10,760
10,1530
10,1023
10,1918
10,2175
11,1324
12,336
12,122
12,1989
12,2263
12,650
12,1565
13,1986
13,1939
13,862
13,2249
13,2009
13,2043
13,1564
13,1406
13,1198
14,2031
15,1632
15,1356
15,652
15,2246
15,1704
15,1849
15,2234
15,924
16,2018
16,1915
16,1354
16,421
17,2208
17,1665
17,1474
17,1233
17,360
17,2217
17,1986
17,1454
17,2093
17,1841
17,1907
17,1081
17,1854
18,1597
18,2126
18,1007
19,1976
20,674
20,1147
20,1860
20,2246
20,1674
20,1866
20,204
20,536
20,339
20,186
20,954
20,2203
20,2110
21,1939
21,1482
22,1089
22,578
22,1220
22,993
22,232
22,361
22,2192
22,747
22,1709
22,240
22,354
22,796
22,1322
22,1278
23,356
23,1726
23,367
24,1408
24,683
24,1799
24,614
24,2190
24,813
24,977
24,850
24,1555
24,2133
24,633
24,2276
24,687
24,378
24,2213
24,1062
24,2097
24,1835
24,2157
24,2094
24,2159
24,520
24,1077
24,1400
24,2105
24,1402
24,1917
25,806
25,33
25,2003
26,944
26,1185
26,2194
26,115
26,1201
26,931
26,783
27,1920
27,1921
27,1923
27,2177
27,393
27,2058
27,1912
27,531
27,475
27,1187
27,2179
27,1510
27,1959
27,1066
27,355
27,2026
28,2113
28,115
28,1204
28,1877
28,2187
28,1512
28,1435
28,2109
28,95
29,608
29,106
29,1019
29,706
30,1233
30,2230
30,1706
30,2044
30,2218
31,1584
31,908
31,460
31,2015
32,1976
32,2260
32,1752
32,804
33,1857
33,195
33,438
33,257
33,1546
33,269
33,912
33,1041
33,597
33,151
33,1496
33,986
33,1139
33,998
33,1780
33,176
33,371
33,564
33,500
33,639
34,674
35,1288
35,886
36,2112
36,1708
36,867
36,1092
36,1116
36,138
36,1308
37,738
37,1860
37,2047
38,336
38,833
38,1330
38,1488
38,2069
38,584
38,631
38,1743
39,992
39,1911
39,1976
39,1916
39,2201
39,1692
39,1677
40,1124
40,652
40,2164
40,2261
40,1974
40,676
40,1932
41,1346
41,2211
41,1860
41,622
41,943
42,1976
43,674
44,1288
44,60
45,1152
45,2177
45,1666
45,2006
45,904
45,905
45,1291
45,141
45,1039
45,1170
45,276
45,2158
45,1814
45,1817
45,666
45,922
45,1567
45,1184
45,2081
45,1777
45,936
45,2220
45,1949
45,1968
45,52
45,949
45,310
45,2228
45,1466
45,479
45,1845
45,960
45,880
45,1090
45,324
45,2122
45,1739
45,1613
45,2254
45,979
45,2004
45,1984
45,505
45,2020
45,1371
45,1633
45,1875
45,1639
45,1640
45,1683
45,660
45,890
45,1727
45,637
45,1534
46,1680
46,2229
47,1939
48,1976
49,1939
50,1222
50,314
51,336
52,514
52,515
52,524
52,1551
52,89
52,1563
52,541
52,2083
52,2086
52,1070
52,1588
52,2103
52,437
52,577
52,1097
52,76
52,1230
52,1107
52,1621
52,1625
52,1117
52,99
52,619
52,2161
52,121
52,1146
52,123
52,636
52,1663
52,2176
52,1670
52,648
52,1167
52,669
52,1697
52,162
52,1701
52,2173
52,2224
52,690
52,692
52,181
52,183
52,1733
52,710
52,205
52,1742
52,1745
52,2259
52,724
52,214
52,217
52,218
52,2170
52,736
52,1253
52,1768
52,236
52,1775
52,754
52,759
52,248
52,1276
52,766
52,258
52,774
52,778
52,268
52,1581
52,131
52,1824
52,1827
52,305
52,307
52,308
52,1334
52,1339
52,828
52,1348
52,326
52,329
52,332
52,343
52,858
52,1892
52,1852
52,383
52,386
52,1927
52,394
52,1931
52,1411
52,915
52,404
52,1948
52,927
52,422
52,1436
52,2205
52,433
52,951
52,160
52,454
52,1480
52,589
52,981
52,1018
52,480
52,482
52,1001
52,2027
52,1004
52,495
52,136
53,1921
53,1762
53,2042
54,2177
54,1102
54,1573
54,1452
54,2174
54,2111
55,1312
55,806
55,1202
55,456
55,2256
55,1937
55,595
56,2186
57,2145
57,2060
58,1124
60,1774
60,1439
60,1590
60,441
60,1085
60,2115
60,196
60,581
60,465
60,484
60,222
60,978
60,242
61,1976
62,640
62,833
62,2062
63,1761
63,867
64,674
66,1922
66,644
66,133
66,1798
66,1799
66,1418
66,654
66,271
66,400
66,1881
66,772
66,1956
66,294
66,680
66,1833
66,1580
66,941
66,743
66,950
66,1465
66,1468
66,1215
66,68
66,2102
66,1734
66,840
66,1996
66,844
66,1236
66,1365
66,345
66,1883
66,989
66,1890
