x1,x2
0,10880
0,8967
0,9419
0,11216
0,11217
0,10322
0,10650
0,1819
0,7710
0,7461
0,4769
0,9189
0,8870
0,7164
0,10237
0,6034
0,8445
0,882
0,1462
0,9660
0,9597
0,6718
0,5247
1,7342
2,6145
2,1040
2,6407
2,8969
2,1804
2,11535
2,7952
2,4696
2,4882
2,535
2,7450
2,6429
2,5662
2,4640
2,6947
2,11300
2,10277
2,7719
2,7721
2,10375
2,861
2,9264
2,6281
2,3897
2,4154
2,9533
2,5182
2,5695
2,667
2,8261
2,2630
2,2145
2,268
2,76
2,7255
2,2185
2,10841
2,8283
2,3165
2,1119
2,1376
2,10081
2,7270
2,10089
2,2535
2,2156
2,9837
2,2791
2,7282
2,4213
2,9079
2,382
2,11391
2,643
2,7559
2,1929
2,10892
2,6031
2,9360
2,7924
2,10902
2,196
2,11419
2,7067
2,2982
2,8359
2,10928
2,9910
2,10169
2,2746
2,6588
2,9412
2,448
2,5570
2,452
2,3525
2,2759
2,10697
2,2250
2,716
2,8909
2,11216
2,7123
2,2008
2,903
2,4060
2,1627
2,229
2,998
2,9191
2,9448
2,9963
2,4589
2,9325
2,163
2,4340
2,11509
2,4342
2,6904
2,6910
3,5696
3,579
3,11596
3,8325
3,10118
3,6316
3,10252
3,11618
3,11535
3,1168
3,7507
3,10041
3,8600
3,10718
3,10437
3,9632
3,1825
3,10338
3,5604
3,8487
3,11628
3,10996
3,4534
3,5794
3,4601
3,9275
3,11068
3,5181
3,7230
4,9242
4,9483
4,11598
4,8487
5,11477
6,5696
7,5696
8,9353
8,8254
8,2226
8,10871
8,8200
8,10169
8,11339
8,9661
8,11230
8,4431
9,5702
10,6144
10,8448
10,11012
10,5126
10,9607
10,10028
10,650
10,8332
10,11458
10,2076
10,9743
10,1168
10,2705
10,2323
10,11285
10,6550
10,11544
10,540
10,3998
10,9120
10,4001
10,5028
10,3877
10,11430
10,689
10,10588
10,1834
10,10546
10,3372
10,9906
10,11566
10,8625
10,9778
10,9630
10,6454
10,10170
10,4447
10,1930
10,1982
10,9141
10,11330
10,7934
10,10690
10,10820
10,1861
10,11336
10,9546
10,10722
10,1108
10,4949
10,8534
10,7140
10,5851
10,9948
10,11615
10,7906
10,8894
10,9150
10,9068
10,9589
10,11256
10,10489
10,9978
10,9919
10,10494
10,5631
11,1600
11,4335
11,10676
11,3828
11,3048
11,217
11,10971
11,9917
11,9951
12,11523
12,2839
12,8206
12,4943
12,9731
12,274
12,1219
12,6932
12,10839
12,345
12,11535
12,7132
12,7326
12,10464
12,3107
12,7021
12,9577
12,9002
12,1900
12,7213
12,5999
12,3508
12,629
12,7452
12,701
13,5696
14,8368
14,10994
14,9683
14,10005
14,7767
14,3771
14,6285
15,5696
16,5696
17,7136
17,10818
17,11339
17,8668
17,9566
17,10783
18,10437
18,11612
18,7022
18,9172
18,7605
18,11414
18,6089
18,7963
18,11583
19,7744
19,8449
19,7170
19,11012
19,7225
20,546
20,11346
20,7035
20,3365
21,4792
21,10339
21,11256
21,6759
21,3832
21,8715
22,8254
22,11393
22,8665
22,10947
22,8582
22,10761
22,6241
22,8526
22,11022
22,6158
22,10967
22,8089
22,5743
22,11484
22,11361
22,8519
22,10852
22,9525
22,11623
22,9001
22,8107
22,10157
22,6703
22,9459
22,10135
22,10870
22,9854
22,9983
23,9275
23,7737
23,8815
24,8833
24,1762
24,9275
24,11117
24,11403
24,10894
24,10164
24,8114
24,10687
24,11349
24,7860
24,11387
24,7762
24,5855
25,5696
26,10898
26,7195
26,8935
26,9353
26,10027
26,2029
27,11127
28,10928
28,10075
28,9549
29,5706
29,307
29,7098
29,11510
30,9632
30,10260
30,10284
30,4703
31,9032
31,2850
31,8651
31,10979
31,11256
31,8473
31,8506
31,7425
31,8477
31,6574
32,9632
32,11603
32,814
32,10800
33,7744
33,10241
33,2568
33,6027
33,2830
33,7697
33,1687
33,9498
33,9693
33,10847
33,11554
33,11432
33,10409
33,6954
33,11564
33,11502
33,5745
33,9467
34,9473
34,6021
34,9610
34,10251
34,11027
34,5780
34,5529
34,8857
34,7836
34,3485
34,10501
34,8688
34,11554
34,419
34,5029
34,197
34,11293
34,9780
34,5045
34,7478
34,9018
34,6461
34,2486
34,11466
34,9035
34,9681
34,8931
34,2775
34,7257
34,9690
34,11105
34,7010
34,11491
34,10340
34,4458
34,10347
34,6381
34,7792
34,10227
34,9875
34,6103
34,2039
34,1912
34,9850
34,8059
34,5759
35,4784
35,5219
35,8550
35,11305
35,11565
35,4974
35,10928
35,6386
35,9815
35,9016
35,11481
35,3273
35,4029
36,9632
36,5787
37,10928
37,10641
37,498
38,8457
38,9834
38,10924
38,1269
38,10349
39,7168
39,9025
39,5564
39,9155
39,1348
39,7815
39,4585
39,5020
39,7687
39,11308
39,1589
39,10478
39,8467
39,6005
39,479
39,8376
39,8155
39,5980
39,10407
39,2047
40,11120
40,11601
40,7124
40,11534
40,11526
40,5278
41,5696
42,4720
42,9032
42,916
42,8545
42,5944
42,10331
43,3361
43,11622
43,3274
43,8940
43,178
43,2733
43,1170
43,4781
43,7093
43,10070
43,5785
43,8751
44,9632
45,8321
45,9987
45,4742
45,1911
45,2630
45,5083
45,3407
45,3216
45,9048
45,8594
45,11302
45,9684
45,10968
45,7961
45,4634
45,7157
45,3055
45,347
45,9190
45,7463
45,9773
45,5213
45,6067
45,244
45,9463
45,10299
45,4156
45,6143
46,9361
46,2651
46,11086
46,11254
46,10456
46,7545
46,10075
46,10285
47,5968
47,10673
47,5074
47,5219
47,10372
47,167
47,8735
48,10437
49,11587
49,7173
49,9353
49,2442
49,10511
49,10199
49,10929
49,3484
49,10915
49,8555
49,9197
49,5806
49,11183
49,7665
49,9847
49,6783
49,11453
50,11366
50,10641
50,9704
50,10953
50,10643
50,8623
