x1,x2
0,18427
1,22208
1,15785
1,18304
1,16260
1,22405
1,14344
1,10379
1,21708
1,16590
1,12305
1,8533
1,17370
1,22171
1,19743
1,7136
1,21729
1,4987
1,5307
1,11557
1,20135
1,10281
1,9934
1,5228
1,6829
1,8049
1,15026
1,17460
1,13737
1,20024
1,22265
1,10554
1,5755
1,2812
1,8894
2,22304
2,17728
2,2629
2,11537
2,19337
2,8495
2,6353
2,17554
2,13205
2,9048
2,5857
2,126
3,10945
3,5826
3,293
3,16742
3,3479
3,9654
3,19753
3,11319
3,22338
3,17346
4,16128
4,22401
4,4738
4,7813
4,2732
4,8843
4,20876
4,4109
4,2830
4,20624
4,5147
4,1882
4,1182
4,11423
4,21280
4,21538
4,1443
4,14628
4,2983
4,7212
4,9263
4,10018
4,3891
4,11446
4,6329
4,17695
4,8514
4,16203
4,12872
4,14155
4,16972
4,13645
4,1997
4,1489
4,2004
4,1879
4,17242
4,3676
4,11102
4,1377
4,5730
4,17507
4,2282
4,6823
4,5356
4,187
4,6390
4,6427
4,14332
4,9706
4,21631
5,18497
5,7106
5,17411
5,21768
5,14862
5,3726
5,16406
5,20510
5,14111
5,8288
5,14241
5,6946
5,18468
5,12902
5,945
5,20271
5,1840
5,4808
5,17845
5,9206
5,15735
5,21755
6,4000
6,290
6,22403
6,3300
6,12645
6,17038
6,3816
6,1193
6,5066
6,18893
6,13966
6,12625
6,16052
6,22261
6,15644
6,18782
7,18601
7,3305
7,12361
8,13872
8,14205
8,3975
9,14497
9,2773
10,11332
10,14
10,13511
11,19489
11,8106
11,20092
11,12130
12,18059
12,21430
12,18391
12,6008
12,4683
12,19356
13,6113
13,7235
13,1494
13,7431
13,2280
13,9001
13,4253
13,395
13,16399
13,1744
13,22435
13,213
13,11971
13,11209
13,16282
13,12762
13,501
14,22020
14,4502
14,19837
14,3848
14,2327
14,18062
14,1041
14,6037
14,16534
14,1943
14,11034
14,2075
14,7301
14,9105
14,1187
14,21157
14,18216
14,18858
14,17325
14,20655
14,10418
14,11315
14,9745
14,14392
14,10426
14,14666
14,5822
14,8002
14,8004
14,8389
14,10182
14,17866
14,21323
14,18512
14,3128
14,5458
14,14164
14,5398
14,2904
14,9946
14,15323
14,11557
14,10641
14,4328
14,5994
14,20071
14,3695
14,12017
14,16630
14,2684
14,10109
14,10622
15,353
15,15507
15,18689
16,10134
17,17433
17,1626
17,21059
17,2417
18,17984
18,961
18,12842
18,17163
18,9220
18,14597
18,15174
18,16071
18,2442
18,8139
18,16524
18,9677
18,3279
18,5458
18,20435
18,5046
18,11804
18,7966
18,14497
18,3259
18,10468
18,16615
18,8232
18,11498
18,15531
18,14547
18,2224
18,10611
18,20276
18,9525
18,5622
18,5943
18,1209
18,11323
18,11644
18,20938
18,16895
19,9184
19,4064
19,20923
19,16420
19,18886
19,18374
19,330
19,1773
19,4048
19,10681
19,15172
19,11003
19,701
20,364
21,18272
21,5627
21,18263
22,897
22,14467
22,1189
22,15368
22,10633
22,15690
22,14027
22,6540
22,21325
22,10959
22,10393
22,11609
22,17818
22,5215
22,11488
22,481
22,14179
22,7781
22,19111
22,11816
22,3964
22,7470
22,21221
22,15129
22,4794
22,15868
22,4106
22,4670
23,6457
23,7082
23,6763
23,19678
24,6432
24,11345
24,21035
24,21955
25,344
25,18449
25,101
25,12837
25,2837
26,18368
26,3779
26,18949
26,3270
26,14409
26,17354
26,13602
26,7694
26,2509
26,6264
26,6290
26,9235
26,8788
26,8149
26,3798
26,8734
26,22177
26,16994
26,7139
26,7460
26,18725
26,18024
26,18153
26,12458
26,10544
26,14768
26,19957
26,17848
26,4948
26,8763
27,9521
27,5890
27,4857
27,21785
27,3586
27,21247
28,11784
28,17772
28,18396
28,16606
29,17088
29,19643
29,15359
29,5160
29,9500
29,4941
29,4754
29,3443
29,20895
29,11158
29,14840
29,14971
29,10972
29,20829
29,15807
30,8584
30,17178
30,16854
30,2838
30,17983
31,17090
31,13716
31,12542
31,17350
31,18727
31,5049
31,1722
31,13783
31,12972
31,21598
32,10496
32,7041
32,9986
32,13003
32,12869
32,14790
32,20983
32,1783
32,14791
32,2157
32,18703
32,120
32,8531
32,19222
32,9849
32,1980
32,6083
32,22330
32,6622
32,10757
32,9248
32,16417
32,17252
32,1024
32,1703
32,14248
32,17833
32,4075
32,22467
32,19700
32,9839
32,14832
32,5619
32,7347
32,19252
32,19509
32,19574
32,7095
32,20280
32,10041
32,4858
32,8636
32,8766
33,22181
33,15191
34,14106
34,14650
35,21424
35,19901
35,7898
35,8957
35,2686
35,7087
36,7360
36,21489
36,18754
36,1293
37,9235
37,17363
37,13886
38,14944
38,1381
38,14205
38,2124
38,21229
38,783
39,4225
39,4133
39,19271
39,18217
39,13130
39,11916
39,10670
39,3864
39,8977
39,18037
39,14454
39,1176
39,18234
39,19387
39,11260
39,21630
39,16885
40,20152
40,10497
40,10581
40,12062
40,19197
41,19010
41,21163
41,9484
41,14796
41,19458
41,6095
41,13584
41,4882
41,18515
41,922
41,8669
41,12067
41,11815
41,5097
41,19307
41,5739
41,45
41,1200
41,19667
41,14772
41,15413
41,16635
41,10621
42,8050
42,14804
42,16727
42,13992
42,909
42,18030
43,4163
43,2422
43,4518
43,10503
43,13418
43,13415
43,14109
43,10997
43,1750
43,1273
43,21626
43,188
43,19101
44,3074
44,9996
44,3981
44,4751
44,13074
44,5525
44,20889
44,21274
44,14703
44,3103
44,11248
44,20516
44,19621
44,21681
44,7978
44,5165
44,4527
44,4401
44,6706
44,4917
44,7606
44,19127
44,568
44,21087
44,18235
44,5010
44,4031
44,18624
44,5317
44,20037
44,839
44,20168
44,12745
44,11850
44,17591
44,21324
44,18638
44,11473
44,1618
44,13140
44,9813
44,8795
44,9567
44,13408
44,2532
44,1126
44,16105
44,18539
44,4077
44,7919
44,2160
44,8062
44,18167
44,7288
44,12025
44,1517
44,19964
44,6398
44,5589
45,21536
45,16993
45,14790
45,11022
45,1713
45,15604
45,5337
45,7887
46,16368
46,15553
46,12130
46,5878
46,3494
46,3963
46,2252
46,365
46,16127
47,16155
47,12516
47,22277
47,19436
47,3409
47,19731
47,630
47,5207
47,17983
47,9275
47,1125
47,6686
47,1503
48,14228
48,5541
48,6206
48,16879
49,7553
49,21955
49,17284
49,19014
49,21105
49,4809
49,7735
49,8911
49,10512
49,6674
49,14868
49,8535
49,280
49,655
49,13853
49,701
49,10210
49,2599
49,13608
49,5500
49,19626
49,7837
49,9256
49,5362
49,7734
49,7799
49,20216
49,1274
49,14076
49,12285
49,17983
50,5280
50,12993
50,9379
50,197
50,14213
50,15969
50,13576
50,6441
50,3530
50,21729
50,14031
50,9240
50,10707
50,8606
50,7320
50,20153
50,19388
50,17694
51,20182
51,8347
51,7940
51,5158
51,4758
51,21066
51,138
51,15467
51,6109
51,782
51,11181
52,14080
52,12546
52,17291
52,5972
52,10100
52,11878
52,13463
52,10857
52,12715
52,6333
52,7206
53,21072
54,9248
54,14402
54,14260
54,13755
54,19426
54,12462
55,10626
55,10980
55,22149
55,15121
55,21544
55,2316
55,9578
55,21937
55,2348
55,14350
55,22352
55,12472
55,21270
55,15384
55,19001
55,8348
55,15839
56,7951
56,496
56,1635
56,6096
56,18853
56,5057
56,9642
56,4779
56,13197
56,20781
56,9872
56,4305
56,723
56,16887
56,20024
56,18970
56,1339
56,20538
56,3935
57,10816
57,15940
57,2117
57,6023
57,18442
57,12204
57,10895
57,4656
57,16561
57,21662
57,5400
57,5561
57,9882
57,6213
57,20543
58,19347
58,10294
58,7735
58,18906
58,10701
58,350
59,13048
59,5353
59,18152
60,290
60,11140
60,6886
60,5777
60,4425
60,17860
60,21713
60,11611
61,22276
61,18693
61,5126
61,8455
61,8968
61,12556
61,16400
61,785
61,11028
61,21781
61,10518
61,3076
61,13339
61,12572
61,3930
61,15904
61,11809
61,2857
61,15751
61,4909
61,12846
61,1544
61,2252
61,8501
61,17289
61,20795
61,16700
61,13117
61,17731
61,18502
61,11788
61,3148
61,12627
61,9559
61,6488
61,21594
61,12379
61,348
61,16482
61,13627
61,5220
61,11888
61,8050
61,11667
61,5492
61,15433
61,9364
61,12410
61,1922
61,4739
61,20103
61,21896
61,18569
61,12684
61,3213
61,3215
61,5523
61,7316
61,13462
61,9880
61,16797
61,7839
61,8357
61,7200
61,13238
61,18377
61,9417
61,20105
61,21951
61,1728
61,18881
61,14790
61,3273
61,16332
61,11728
61,5074
61,19157
61,4601
61,9921
61,22236
61,8671
61,5603
61,21732
61,1769
61,19367
61,4079
61,15088
61,1521
61,6130
61,17491
61,21751
61,11001
61,8698
61,4604
62,3026
62,21172
63,21097
63,6511
64,11266
64,7750
64,12039
64,5580
64,18701
64,18126
64,17423
64,15506
64,659
64,2644
64,15317
64,12183
64,20444
64,478
64,2531
64,13478
64,4071
64,17321
64,19632
64,11895
64,3705
64,14330
64,3451
65,16993
65,3047
65,872
65,19598
65,17392
65,11230
65,9940
65,789
65,13244
65,701
65,17566
65,8245
66,12677
66,9858
66,3987
66,21572
66,9382
66,15718
66,2216
66,8458
66,4846
66,1679
67,18992
67,10932
67,14628
67,18919
67,16676
67,791
68,20113
68,10922
68,19635
68,16502
68,366
69,21687
69,19031
69,4186
69,959
69,20012
69,13610
69,526
69,12031
70,16034
70,20923
70,20582
70,10152
70,7595
70,20076
70,9282
70,9710
70,3663
70,19504
70,18475
70,7029
70,21366
70,14551
70,19854
70,18911
70,924
70,12830
70,4693
71,4677
72,783
72,21729
72,10372
72,11460
72,1901
72,6728
72,17641
72,13015
72,10701
72,16552
72,15319
72,7460
72,18016
72,11817
73,6050
73,19203
73,580
73,1621
73,10904
73,20617
73,9578
73,239
74,6337
74,17922
74,8523
74,10436
74,18440
74,18827
74,6348
74,6920
74,15502
74,9039
74,16721
74,19474
74,3731
74,12437
74,4630
74,8452
74,17307
74,3487
74,12007
74,16299
74,15213
74,1327
74,20744
74,2359
74,6844
75,14497
75,19027
75,14659
75,11244
75,8014
76,17168
77,16960
77,10241
77,9603
77,15684
77,21512
77,20555
77,8972
77,3469
77,9176
77,22229
77,20888
77,12633
77,21120
77,21211
77,2270
77,10783
77,8482
77,8874
77,9197
77,13294
77,12911
77,7768
77,6552
77,12151
77,19000
77,16618
77,14650
77,1597
77,2474
78,16809
79,12514
79,11173
79,410
79,13675
79,7228
79,19026
79,10974
79,20335
80,11904
80,17170
80,12568
80,16636
80,8426
80,17500
81,17536
81,12672
81,3204
81,4235
81,13582
81,5778
81,17300
81,13550
81,14998
81,13464
81,18075
81,12190
81,7967
81,13600
81,15394
81,8483
81,5029
81,6335
81,16303
81,2232
81,21178
81,6588
81,5823
81,5188
81,3781
81,7499
81,10444
81,5713
81,16761
81,13400
81,14809
81,13157
81,21344
81,12095
81,22245
81,486
81,3199
81,17897
81,6766
81,14577
81,626
81,20927
81,19574
81,17253
81,8852
81,11643
81,7295
82,17914
82,18002
82,1142
82,7422
82,3559
83,16688
83,3553
83,10642
83,5617
83,5937
83,21048
83,16490
83,18859
83,7068
83,15090
84,17984
84,16977
84,12939
84,21533
84,9294
85,19729
85,1586
85,17912
85,19081
85,13899
85,4093
85,9982
85,21327
86,7184
86,15845
86,1129
86,12809
86,16026
86,6575
86,17269
87,2409
87,13525
88,22208
88,13958
88,16648
88,11657
88,12175
88,19476
88,1047
88,19992
88,7961
88,18971
88,19870
88,8482
88,14115
88,679
88,7467
88,20653
88,840
88,8243
88,16186
88,14272
88,10308
88,8519
88,16968
88,13264
88,10066
88,5587
88,12500
88,14166
88,20827
88,16988
88,18015
88,21088
88,14181
88,7535
88,19795
88,1271
88,16520
88,7550
89,543
89,17441
89,4769
89,11531
89,6455
90,17988
90,11203
90,15236
90,15110
90,14154
90,6347
90,11341
90,20433
90,19347
90,5716
90,8883
90,3735
90,9113
90,6171
90,4453
90,5919
90,1123
90,19941
90,9319
90,6057
90,20909
90,8025
90,16560
90,4499
90,19135
90,11260
90,11007
91,16622
91,5410
91,5557
91,16270
91,17343
91,13723
91,1660
91,20466
91,12670
91,14701
92,15986
92,7797
92,1225
92,10155
92,18396
92,7487
93,5227
93,6709
94,12896
94,21729
94,6916
94,18825
94,21985
94,6409
94,21573
94,17391
94,5212
94,16032
94,1372
94,21588
94,767
95,16514
95,4232
95,6556
95,17804
95,9869
95,19602
95,4755
95,1689
95,22042
95,20636
95,1181
95,8607
95,18976
95,6566
95,11560
95,20521
95,22317
95,7196
95,8239
95,10760
95,3253
95,20027
95,16322
95,16835
95,4423
95,10953
95,1357
95,10579
95,17620
95,9045
95,13049
95,11480
95,3290
95,4188
95,9566
95,12513
95,20706
95,17635
95,8169
95,2922
95,9330
95,4084
95,13173
95,19881
95,1401
95,6395
95,6781
95,20478
96,18418
96,2539
96,8500
96,14325
96,20388
96,13435
97,18356
97,7076
97,13261
97,16975
98,10779
98,10657
98,1282
98,1283
98,9284
98,18123
98,6536
98,21226
98,18187
98,16290
98,6091
98,17229
98,20592
98,17128
98,3154
98,17667
98,15567
98,2455
98,729
98,16155
99,18369
99,2051
99,7365
99,9164
99,11469
99,3791
99,17169
99,4563
99,3221
99,8663
99,15384
99,14308
99,216
99,3741
99,17056
99,2466
99,9777
99,20778
99,18819
99,4653
99,20337
99,9843
99,5045
99,13175
99,21307
99,17340
99,1789
99,8574
99,20415
100,15008
100,17321
100,4420
100,8807
100,21338
100,20462
100,1503
101,11137
101,2966
101,14090
101,3852
101,4751
101,787
101,1558
101,4118
101,11375
101,410
101,3241
101,18869
101,15416
101,7355
101,9034
101,10805
101,11329
101,20162
101,19525
101,9641
101,13922
101,12759
101,15449
101,5082
101,17738
101,10849
101,5858
101,8803
101,12774
101,2539
101,8050
101,20083
101,21236
102,7104
102,10945
102,21891
102,1766
102,18473
102,8842
102,10539
102,15055
102,17588
102,7221
102,2153
102,15097
102,17882
103,17920
103,10497
103,3291
103,10174
103,16191
103,4076
103,20045
103,11310
103,12589
103,1136
103,20820
103,4526
103,8630
103,827
103,2869
103,20990
104,5570
104,10731
104,17350
104,10057
104,21527
104,589
104,20756
104,6358
104,3956
104,10458
104,19677
104,4323
104,20261
104,9574
104,12027
104,19115
104,15150
104,10095
104,16625
104,14260
104,22134
104,6612
104,15103
105,11880
105,1640
105,11655
105,10632
105,18953
105,5548
105,21165
105,12429
106,6914
106,14340
106,8514
106,12038
106,8712
106,16779
106,2882
106,15385
106,8985
106,22173
106,12965
106,5785
106,17065
106,20488
106,7602
106,11507
106,16181
106,3138
106,2208
106,1602
106,4419
106,17740
106,8395
106,8910
106,16975
106,13776
106,9144
106,18260
106,7503
106,12512
106,6113
106,10978
106,7867
106,14822
106,4967
106,19050
106,20049
106,6764
106,13551
106,16112
106,8434
106,4211
106,19702
106,13053
106,3838
106,14591
107,467
108,20316
108,469
109,7618
109,9603
109,3397
109,15240
109,20107
109,19470
109,3287
109,13073
109,9987
109,14539
109,10969
109,6233
109,14170
109,20380
109,21022
109,17881
109,5987
109,3238
109,5735
109,21931
109,16749
109,21102
109,14575
109,3863
109,6193
109,20594
109,4830
109,3192
109,9661
109,511
110,18560
110,18825
110,18565
110,12521
110,13194
110,9239
110,16205
110,8509
110,15408
110,16721
111,9254
111,1302
112,15313
112,10426
113,12160
113,15107
113,7812
113,2902
113,14862
113,2959
113,21144
113,4099
113,19735
113,21272
113,6427
113,6940
113,20826
113,3870
113,11424
113,10843
113,5799
113,4907
113,6318
113,14516
113,17079
113,4152
113,18100
113,9531
113,19133
113,16072
113,6603
113,4300
113,13134
113,16337
113,18002
113,5844
113,18006
113,10072
113,20314
113,6491
113,3932
113,6621
113,16992
113,13537
113,6244
113,19567
113,11379
113,21497
113,20862
114,10368
114,364
114,3622
114,1705
114,11228
114,3563
114,18012
114,8637
114,20462
114,20525
115,8785
115,17624
115,10570
115,15339
115,4221
115,12303
116,9600
116,7179
116,3052
116,18789
116,3807
117,21767
118,19816
118,15824
118,11898
118,15484
118,15311
119,14266
119,4212
119,12794
119,11718
120,7749
120,12936
120,11229
120,4633
120,7005
120,3902
121,15280
121,16098
121,7411
121,8086
121,15643
121,10285
121,3628
121,8098
121,13234
122,10273
122,15427
122,10085
122,9606
122,20091
122,19667
122,11235
122,8821
122,19513
122,15737
122,3802
122,10331
123,2496
123,130
123,2822
123,16968
123,20844
123,17296
123,17426
123,19093
123,13719
123,14245
123,19483
123,8540
123,21663
123,14562
123,22316
123,6189
123,14895
123,14192
123,375
123,343
123,10617
123,8473
124,22272
124,16850
124,17827
124,9415
124,5784
124,5690
124,14331
124,16812
124,15262
125,19856
125,14792
125,11147
125,21963
125,8566
126,21888
126,12401
126,21064
126,19969
126,21275
126,17318
126,15378
126,20207
126,13233
126,11829
126,5624
126,4601
126,1533
127,770
127,15236
127,7412
127,21569
127,5896
127,11273
127,12247
127,2572
127,3757
127,405
127,18966
127,3995
127,20892
127,5918
127,2311
127,3496
127,4516
127,17464
127,9126
127,18545
127,7848
127,3911
127,15090
127,4786
127,12464
127,8754
127,3892
127,8631
127,3896
127,11449
127,17726
127,6980
127,3521
127,15159
127,13428
127,18262
127,14777
127,4440
127,13915
127,15283
127,356
127,14561
127,1639
127,17384
127,4337
127,11634
127,11892
127,9287
127,12283
127,6140
127,10749
127,917
128,2080
128,4930
128,21828
128,2119
128,9928
128,11785
128,8396
128,9602
128,142
128,9936
128,2833
128,1156
128,672
128,7452
128,13984
128,7969
128,6811
128,8613
128,682
128,13423
128,17392
128,12145
128,10166
128,641
128,19129
128,10234
128,4476
129,22283
129,15236
129,4357
129,1035
129,10256
129,10257
129,12982
129,9174
129,22359
129,1860
129,3996
129,12321
129,19640
129,5353
129,8557
129,13112
129,10224
129,12853
129,13515
129,18424
129,14908
129,10174
130,11467
130,2565
130,1617
130,3797
130,9367
130,18714
130,9053
130,10912
130,18288
130,18721
130,7066
130,4147
130,18744
131,7162
131,11507
131,306
131,21255
132,264
132,11345
132,10890
132,11212
132,19013
133,8482
133,9389
133,17692
133,1053
133,9632
133,17697
133,8098
133,15012
133,11761
133,6045
133,21033
133,22443
133,19757
133,10926
133,3229
133,1979
133,1087
133,14403
133,715
133,5325
133,17231
133,8790
133,19289
133,6107
133,14685
133,5093
133,17099
133,19432
133,21356
133,3432
133,7026
133,11894
133,6137
133,9074
133,17791
134,15616
134,20076
134,8555
134,13764
134,13893
134,17254
134,18408
134,11500
134,555
134,22124
134,16709
134,11984
134,12977
134,12628
134,20254
134,2144
134,16664
134,18708
134,21214
134,18495
135,5546
135,12139
135,18396
135,12925
135,2958
135,8191
136,5187
136,2170
136,7165
136,1964
136,3533
136,10511
137,21065
138,11712
138,14017
138,10387
138,13639
138,5448
138,1293
138,6542
138,6413
138,21586
138,6291
138,19732
138,15187
138,11611
138,12064
138,11043
138,18021
138,12777
138,1962
138,17837
138,16362
138,3990
138,10292
138,7350
138,8377
138,968
138,11003
138,554
138,5439
139,602
139,2053
139,17255
140,1011
140,5948
140,12677
140,19447
141,6763
141,13798
141,19495
141,4296
141,233
141,14090
141,5035
141,19020
141,16754
141,15505
141,9938
141,21301
141,8439
141,3576
141,3449
141,1211
143,19777
143,10261
143,16470
144,21392
144,8840
144,13714
144,14267
144,10661
145,12928
145,2754
145,10443
145,10980
145,12742
145,15399
145,3465
145,15947
145,4687
145,2612
145,15321
145,14503
145,7646
145,21375
146,18022
146,17110
147,6181
147,11942
147,2972
147,10347
147,11187
147,16564
147,16823
147,3641
147,1658
147,5339
147,9367
147,3262
148,6562
148,3342
148,14981
148,11846
148,21671
148,18886
148,7833
148,3066
148,12654
148,10047
149,481
149,4132
149,19748
149,248
149,12601
149,10475
150,15236
150,17622
150,14829
150,14377
150,15468
150,9893
150,13426
150,14356
150,3573
150,20758
150,14495
151,10499
151,20012
151,19946
151,3212
151,19731
151,10540
151,3766
151,4887
151,19038
152,8529
152,5156
152,11686
152,5719
152,8936
152,6298
152,22428
152,15674
152,16574
153,2689
153,3906
153,18921
153,19372
153,4172
153,20542
154,3457
154,6659
154,729
154,1054
154,15215
155,15714
155,16091
155,8647
155,7979
155,6892
155,22162
155,15183
155,12272
155,594
155,6710
155,16184
155,8505
155,6939
156,10976
156,17056
156,6466
156,16001
156,13098
156,11719
156,3906
156,8335
156,5122
156,7091
156,9652
156,21206
156,22237
157,10947
157,21254
157,15114
157,7735
157,11213
157,5518
157,11280
157,20632
157,10578
157,20291
157,16408
157,21213
157,1827
157,19492
157,1701
157,19889
157,12332
157,3630
157,8367
157,13297
157,13875
157,14900
157,15223
157,5183
157,7164
157,11389
157,5695
158,14374
159,3584
159,961
159,19777
159,10789
159,16073
159,12088
159,18168
159,14996
159,18645
159,6806
159,983
159,15773
159,18777
159,4399
159,7325
159,18208
159,14045
159,8869
159,4518
159,21740
159,4461
159,10799
159,11289
159,11538
159,12408
159,2981
159,9125
159,5694
159,19573
160,14864
160,386
160,18917
160,9620
160,9021
160,6775
160,17080
160,170
160,13439
160,4141
160,18717
161,13616
162,20458
162,325
162,18079
163,7968
163,8392
163,18872
163,3731
163,822
164,421
164,13800
164,20188
164,971
164,19148
164,349
164,1551
165,9729
165,21635
165,3492
165,19973
165,3174
165,17480
165,7663
165,7755
165,13101
165,11319
165,13263
165,21605
165,16868
165,10803
165,9973
165,8054
165,12375
165,14648
165,10905
165,3131
165,2271
166,18121
166,5538
166,21676
166,15319
167,22208
167,3650
167,19275
167,8907
167,8524
167,16973
167,14928
167,7765
167,5345
167,5354
167,19501
167,10614
167,18935
167,17402
167,7165
168,17765
168,15774
168,2703
169,7488
169,20481
169,5908
169,5878
171,8482
171,14174
171,20937
171,7258
171,8302
172,3496
172,3690
173,5632
173,10241
173,21764
173,15749
173,12450
173,19594
173,20879
173,1169
173,6802
173,15763
173,6677
173,1817
173,18974
173,15647
173,17216
173,22052
173,1094
173,22438
173,18856
173,5255
173,12461
173,15151
173,9160
173,12851
173,19380
173,1078
173,18105
173,17540
173,522
173,4670
173,6719
173,22080
173,2242
173,7364
173,710
173,10439
173,14400
173,12495
173,11734
173,7383
173,13382
173,8932
