x1,x2
0,23977
1,2370
1,20363
1,34526
1,21142
1,34035
1,23830
1,14683
1,29982
2,3812
3,3358
3,5916
3,18029
3,4950
3,34935
4,2865
4,9342
5,27803
6,31890
6,18612
6,27803
6,18876
6,18562
6,17647
7,12775
7,9051
7,37493
7,30199
7,21864
7,11273
7,33643
7,35773
8,10080
8,27803
8,19253
8,14003
8,4793
8,11083
8,36652
8,23973
9,30596
9,15477
9,27768
9,33129
9,23914
9,27803
9,19407
10,14720
10,16641
10,35842
10,1923
10,19973
10,15495
10,22666
10,13638
10,29964
10,31938
10,14478
10,26639
10,19345
10,31890
10,915
10,19222
10,29465
10,2078
10,26143
10,37280
10,18850
10,7843
10,22564
10,23589
10,27313
10,30002
10,11271
10,35762
10,21934
10,35633
10,4530
10,29876
10,27314
10,19256
10,17332
10,27450
10,6229
10,34238
10,5567
10,35008
10,16321
10,32322
10,32836
10,12102
10,4469
10,37577
10,30199
10,27340
10,3797
10,10456
10,23972
10,33500
10,12894
10,36578
10,16995
10,4708
10,10535
10,22674
10,33138
10,7027
10,29557
10,23670
10,10487
10,11514
10,1407
11,31890
12,4398
12,9598
12,20854
12,11051
12,13228
12,25134
13,9051
13,5629
14,13396
14,33988
14,34629
14,15143
14,20363
14,4174
14,34989
14,18638
14,20880
14,7825
14,36404
14,23838
14,31126
14,30809
14,28922
14,8635
14,35773
14,18910
15,10080
15,23204
15,33671
15,3368
15,29892
15,10219
15,30833
15,18163
15,12921
15,9049
15,17787
15,1501
15,5310
16,13638
17,36099
17,18876
17,32821
18,27696
18,23458
18,27803
19,5506
19,25477
19,2694
19,5063
19,21768
19,32905
19,23051
19,268
19,36628
19,18391
19,14104
19,7195
19,26847
19,22881
19,3747
19,34020
19,23783
19,21547
19,30002
19,5045
19,1014
19,35133
20,27745
20,29082
20,3922
20,33863
21,37057
21,34114
21,33029
21,6790
21,20961
21,8172
21,21847
21,19470
21,9553
21,31890
21,1315
21,33684
21,15191
21,36632
21,5081
21,27877
21,2992
21,14242
21,23332
21,12261
21,8360
21,2282
21,12396
21,29615
21,10352
21,22321
21,5300
21,20919
21,12986
22,3072
22,291
22,13685
22,19222
22,35241
22,32575
23,34114
23,14635
23,9388
23,6221
23,21298
23,9173
23,22584
23,21498
23,30235
23,19358
23,35359
24,3712
24,22059
24,33029
24,327
24,7976
24,12523
24,35558
24,27954
24,23267
24,14805
24,10840
24,28761
24,9722
24,32060
24,26877
24,2431
25,3712
25,16496
25,12593
25,11279
25,18896
25,3153
25,22452
25,33813
25,13221
26,3153
26,15554
26,17091
26,34606
26,32718
26,29055
27,32771
27,14341
27,20024
27,12838
27,26124
27,16621
27,33424
27,10001
27,9339
27,25748
27,27031
27,33833
27,18588
27,17949
27,24094
27,23051
27,13090
27,3491
27,31525
27,30502
27,7847
27,25129
27,19629
27,11720
27,22836
27,29347
27,35668
27,26298
27,28477
27,831
27,35523
27,32452
27,17221
27,7495
27,714
27,31500
27,12798
27,27874
27,30417
27,37475
27,34900
27,11225
27,25819
27,25948
27,479
27,14177
27,23906
27,14947
27,18595
27,9947
27,32507
27,14185
27,24810
27,1767
27,17644
27,14755
27,28014
27,11889
27,25756
27,2035
27,1268
27,885
27,7415
27,34059
27,35065
27,1659
27,7075
27,3582
28,13003
29,31890
30,23664
30,9051
30,20854
30,6631
31,17736
31,23880
31,31890
31,15908
31,10808
31,12505
31,2059
32,4293
32,22351
33,5398
33,10510
34,27474
34,3635
34,27804
34,18741
35,25218
35,5300
35,7562
35,15074
35,19540
35,34766
35,16599
35,30543
35,18274
35,15270
35,6506
35,3922
35,308
35,17013
35,25652
36,35523
36,23690
36,32459
36,28814
36,24343
36,34840
36,16282
36,35616
36,27363
36,27367
36,26293
