x1,x2
0,2304
0,5121
0,514
0,4867
0,4868
0,5126
0,2305
0,1291
0,5132
0,4621
0,782
0,4879
0,4625
0,4627
0,2068
0,4629
0,5142
0,4120
0,5145
0,5146
0,5148
0,4640
0,4129
0,4571
0,3876
0,3365
0,3889
0,5160
0,5164
0,5165
0,4912
0,5169
0,4528
0,5174
0,2103
0,4408
0,4665
0,5179
0,1852
0,2031
0,4160
0,5186
0,4419
0,3908
0,5189
0,3142
0,4679
0,1548
0,5196
0,4365
0,4595
0,2872
0,1106
0,2389
0,3066
0,4698
0,4913
0,4961
0,4450
0,3899
0,613
0,1638
0,4369
0,4284
0,5095
0,3948
0,4207
0,4208
0,4721
0,3699
0,4406
0,4981
0,1655
0,4428
0,633
0,4730
0,737
0,3199
0,3713
0,3462
0,3521
0,4232
0,3210
0,2955
0,3980
0,1346
0,3031
0,5010
0,2349
0,5014
0,3396
0,4251
0,5043
0,4864
0,4767
0,4002
0,5027
0,3494
0,4713
0,3911
0,3501
0,4783
0,4016
0,3761
0,4786
0,4275
0,5044
0,1950
0,4530
0,5193
0,2420
0,5023
0,4796
0,4544
0,4801
0,2550
0,4567
0,5063
0,5064
0,4809
0,4727
0,3022
0,4303
0,5112
0,1486
0,4822
0,4217
0,4825
0,4943
0,4829
0,4574
0,3807
0,2016
0,4321
0,4322
0,2811
0,5071
0,4839
0,3443
0,3820
0,1618
0,5102
0,4847
0,4904
0,4219
0,3861
0,2805
0,1270
0,5033
0,2040
0,4346
0,4347
0,5117
0,4094
1,4658
1,1187
1,4966
1,2120
1,4236
1,3155
2,3267
2,1061
2,936
2,5196
2,3598
2,1172
2,1142
2,3610
2,4095
3,2304
3,3434
3,4475
4,4712
4,4996
4,684
4,3429
4,2414
5,4544
5,4356
5,4230
5,141
5,558
5,720
5,3537
5,184
6,4419
6,4790
6,3852
6,4504
6,3891
6,4758
6,601
6,4894
7,2816
7,1537
7,2562
7,3334
7,2567
7,4616
7,5164
7,2059
7,525
7,3860
7,2843
7,4125
7,4382
7,3872
7,3291
7,4877
7,4870
7,4903
7,4137
7,2348
7,2094
7,4399
7,4008
7,3113
7,5175
7,5181
7,1434
7,4928
7,4677
7,4935
7,4424
7,4171
7,4945
7,2901
7,3932
7,1885
7,3169
7,3938
7,3683
7,3947
7,2668
7,1392
7,1394
7,4471
7,4729
7,2171
7,1916
7,4225
7,3205
7,3206
7,2447
7,1936
7,4498
7,3221
7,2818
7,4765
7,3232
7,1185
7,2723
7,3749
7,4774
7,5105
7,3752
7,2256
7,5018
7,5149
7,4449
7,3763
7,542
7,695
7,5048
7,5050
7,4524
7,4507
7,4542
7,5055
7,4683
7,3783
7,3532
7,2767
7,4107
7,2260
7,4314
7,4431
7,1500
7,3802
7,4773
7,3792
7,487
7,2537
7,4335
7,4849
7,3909
7,4852
7,4598
7,2807
7,1021
8,4799
9,4480
9,2610
9,2884
9,4903
9,5037
9,1165
9,3474
9,3028
9,3865
9,3663
9,3580
10,2816
10,4922
10,1341
10,3553
10,3302
10,4088
11,5194
11,1388
11,3637
12,5185
12,4099
12,5189
12,2920
12,3666
12,4931
12,4502
12,5015
12,5152
12,5025
12,2344
12,4848
12,3304
12,4883
12,5115
12,2687
13,4481
13,4658
13,37
13,4391
13,3495
13,3245
13,4750
13,3217
13,4978
13,5139
13,4084
13,4110
13,3542
13,4183
13,1723
13,1957
14,320
14,4160
14,392
14,1797
14,4417
14,5000
14,1418
14,2701
14,2638
14,1997
14,4953
14,1880
14,4185
14,2650
14,3613
14,2845
14,3486
14,4711
14,3371
14,3053
14,687
14,1649
14,5172
14,1566
14,5177
14,3771
15,4865
15,4903
15,4295
15,4660
15,4793
15,3482
16,5121
16,5150
16,4128
16,3078
16,2089
16,3115
16,4158
16,1087
16,3143
16,5192
16,5197
16,2677
16,4823
16,4743
16,2717
16,3744
16,4638
16,4775
16,3764
16,3765
16,1235
16,2809
16,4869
16,3777
16,4891
16,3869
16,2853
16,4439
16,2404
16,4966
16,4465
16,380
16,5007
16,3502
16,4024
16,4587
17,5152
17,1761
17,4996
17,1894
17,4121
17,2820
17,1572
18,4099
18,2966
18,5166
18,3248
18,4464
19,2530
19,1123
19,2238
19,568
19,4905
19,2074
19,4619
19,4051
20,361
20,738
20,4084
20,4841
21,5027
21,1316
21,3397
21,2827
21,4395
21,4045
21,4859
21,3263
22,5098
22,4843
22,4759
23,2905
23,2967
24,2816
24,3653
24,762
25,2048
25,3074
25,2821
25,2310
25,2055
25,4361
25,3850
25,1805
25,4879
25,4112
25,2577
